OBJECTID,admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2Name_fr,admin2Pcode,admin3Name_fr,admin3Pcode,admin4Name_fr,admin4Pcode,admin4RefName,admin4AltName1_fr,admin4AltName2_fr,date,validOn,validTo
96,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Kaya,CF711515,Kaya,NA,NA,1427760000000,1434326400000,NA
97,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Bataillon I,CF711507,Bataillon I,NA,NA,1427760000000,1434326400000,NA
98,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 2,CF7112,Sica II,CF711219,Sica II,NA,NA,1427760000000,1434326400000,NA
99,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Benz-vi II,CF711511,Benz-vi II,NA,NA,1427760000000,1434326400000,NA
100,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Benz-vi I,CF711510,Benz-vi I,NA,NA,1427760000000,1434326400000,NA
101,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,9 Villas,CF711105,9 Villas,NA,NA,1427760000000,1434326400000,NA
102,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,Cité Universitaire,CF711112,Cite Universitaire,NA,NA,1427760000000,1434326400000,NA
103,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 1,CF7111,14 Villas,CF711101,14 Villas,NA,NA,1427760000000,1434326400000,NA
104,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Camerounais Yde,CF711306,Camerounais Yde,NA,NA,1427760000000,1434326400000,NA
105,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Bazanga,CF711508,Bazanga,NA,NA,1427760000000,1434326400000,NA
106,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Sénégalais Baidi,CF711525,Senegalais Baidi,NA,NA,1427760000000,1434326400000,NA
107,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Braza,CF711513,Braza,NA,NA,1427760000000,1434326400000,NA
108,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Sara Blague,CF711524,Sara Blague,NA,NA,1427760000000,1434326400000,NA
109,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Poto Poto Souma,CF711325,Poto Poto Souma,NA,NA,1427760000000,1434326400000,NA
110,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Walingba II,CF711528,Walingba II,NA,NA,1427760000000,1434326400000,NA
111,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Sarah-Dah,CF711329,Sarah-Dah,NA,NA,1427760000000,1434326400000,NA
112,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 3,CF7113,Castors III,CF711309,Castors III,NA,NA,1427760000000,1434326400000,NA
113,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Edville,CF711514,Edville,NA,NA,1427760000000,1434326400000,NA
114,Central African Republic,CF,Bangui,CF71,Bangui,CF711,Arrondissement 5,CF7115,Kolongo I,CF711516,Kolongo I,NA,NA,1427760000000,1434326400000,NA
