OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
45,Kaiyamba,SL030306,Kaiyamba,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
46,Lower Banta,SL030311,Lower Banta,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
47,Kongbora,SL030308,Kongbora,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
48,Kamajei,SL030307,Kamajei,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
49,Langrama,SL010207,Langrama,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
50,Bagbo,SL030102,Bagbo,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
51,Kori,SL030309,Kori,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
52,Dama,SL010201,Dama,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
53,Ribbi,SL030312,Ribbi,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
54,Boama,SL030104,Boama,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
55,Dodo,SL010202,Dodo,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
56,Timdale,SL030313,Timdale,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
57,Upper Banta,SL030314,Upper Banta,NA,NA,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
58,Gorama Mende,SL010204,Gorama Mende,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
59,Koya,SL010206,Koya,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
60,Lower Bambara,SL010208,Lower Bambara,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
61,Malegohun,SL010209,Malegohun,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
62,Niawa,SL010210,Niawa,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
63,Njaluahun,SL010111,Njaluahun,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
64,Nomo,SL010211,Nomo,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
65,Nongowa,SL010212,Nongowa,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
66,Small Bo,SL010214,Small Bo,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
67,Wandor,SL010216,Wandor,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
68,Tunkia,SL010215,Tunkia,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
69,Kenema Town,SL010291,Kenema Town,NA,NA,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
70,Dea,SL010101,Dea,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
71,Jawie,SL010102,Jawie,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
72,Kissi Kama,SL010103,Kissi Kama,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
73,Kissi Teng,SL010104,Kissi Teng,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
74,Kissi Tongi,SL010105,Kissi Tongi,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
75,Kpeje Bongre,SL010106,Kpeje Bongre,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
76,Kpeje West,SL010107,Kpeje West,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
77,Malema,SL010109,Malema,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
78,Mandu,SL010110,Mandu,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
79,Gbinle Dixing,SL020202,Gbinle Dixing,NA,NA,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
80,Upper Bambara,SL010113,Upper Bambara,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
81,Jaiama Bongor,SL030107,Jaiama Bongor,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
82,Yawei,SL010114,Yawei,NA,NA,Kailahun,SL0101,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
83,Badjia,SL030101,Badjia,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
84,Bagbwe(Bagbe),SL030103,Bagbwe(Bagbe),NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
85,Bumpe Ngao,SL030105,Bumpe Ngao,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
86,Gbo,SL030106,Gbo,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
87,Kakua,SL030108,Kakua,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
88,Kalansogoia,SL020503,Kalansogoia,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
89,Marampa,SL020408,Marampa,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
90,Lugbu,SL030110,Lugbu,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
91,Tikonko,SL030113,Tikonko,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
92,Niawa Lenga,SL030111,Niawa Lenga,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
93,Maforki,SL020407,Maforki,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
94,Wonde,SL030115,Wonde,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
95,Bo Town,SL030191,Bo Town,NA,NA,Bo,SL0301,Southern,SL03,Sierra Leone,SL,1470009600000,1476662400000,NA
96,Dibia,SL020403,Dibia,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
97,Kunike Barina,SL020506,Kunike Barina,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
98,Gbonkolenken,SL020501,Gbonkolenken,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
99,Kafe Simiria,SL020502,Kafe Simiria,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
100,Malal Mara,SL020508,Malal Mara,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
101,Kholifa Mabang,SL020504,Kholifa Mabang,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
102,Kholifa Rowala,SL020505,Kholifa Rowala,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
103,Kunike,SL020507,Kunike,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
104,Dembelia - Sink,SL020301,Dembelia - Sink,NA,NA,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
105,Sambaya,SL020509,Sambaya,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
106,Tane,SL020510,Tane,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
107,Yoni,SL020511,Yoni,NA,NA,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
108,Kaffu Bullom,SL020404,Kaffu Bullom,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
109,Lokomasama,SL020406,Lokomasama,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
110,Masimera,SL020409,Masimera,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
111,Sanda Magbolont,SL020410,Sanda Magbolont,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
112,Fiama,SL010301,Fiama,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
113,TMS,SL020411,TMS,NA,NA,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
114,Lei,SL010307,Lei,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
115,Soa,SL010312,Soa,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
116,Gbane,SL010302,Gbane,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
117,Gbane Kandor,SL010303,Gbane Kandor,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
118,Gbense,SL010304,Gbense,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
119,Kamara,SL010306,Kamara,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
120,Mafindor,SL010308,Mafindor,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
121,Nimikoro,SL010309,Nimikoro,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
122,Tankoro,SL010313,Tankoro,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
123,Koidu Town,SL010391,Koidu Town,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
124,Nimiyama,SL010310,Nimiyama,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
125,Sandor,SL010311,Sandor,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
126,Toli,SL010314,Toli,NA,NA,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,1470009600000,1476662400000,NA
127,Diang,SL020302,Diang,NA,NA,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
128,Folosaba Dembel,SL020303,Folosaba Dembel,NA,NA,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,1470009600000,1476662400000,NA
