OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
39,Al Jarrahi,الجراحي,YE1825,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
40,Al Jubah,الجوبه,YE2607,NA,NA,NA,NA,NA,Ma'rib,مارب,YE26,Yemen,اليمن,YE,1548979200000,1574380800000,NA
41,Al Khabt,الخبت,YE2704,NA,NA,NA,NA,NA,Al Mahwit,المحويت,YE27,Yemen,اليمن,YE,1548979200000,1574380800000,NA
42,Al Khalaq,الخلق,YE1609,NA,NA,NA,NA,NA,Al Jawf,الجوف,YE16,Yemen,اليمن,YE,1548979200000,1574380800000,NA
43,Al Khukhah,الخوخه,YE1820,NA,NA,NA,NA,NA,Al Hodeidah,الحديده,YE18,Yemen,اليمن,YE,1548979200000,1574380800000,NA
44,Al Ma'afer,المعافر,YE1521,Al Maafer,NA,NA,NA,NA,Ta'iz,تعز,YE15,Yemen,اليمن,YE,1548979200000,1574380800000,NA
45,Al Madan,المدان,YE2906,NA,NA,NA,NA,NA,Amran,عمران,YE29,Yemen,اليمن,YE,1548979200000,1574380800000,NA
46,Al Madaribah Wa Al Aarah,المضاربة و العاره,YE2513,NA,NA,NA,NA,NA,Lahj,لحج,YE25,Yemen,اليمن,YE,1548979200000,1574380800000,NA
47,Al Maflahi,المفلحي,YE2503,NA,NA,NA,NA,NA,Lahj,لحج,YE25,Yemen,اليمن,YE,1548979200000,1574380800000,NA
48,Al Maghrabah,المغربه,YE1717,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
49,Al Mahabishah,المحابشه,YE1715,NA,NA,NA,NA,NA,Hajjah,حجه,YE17,Yemen,اليمن,YE,1548979200000,1574380800000,NA
