OBJECTID,admin2Name_en,admin2Name_vi,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_vi,admin2AltName2_vi,admin1Name_en,admin1Name_vi,admin1Pcode,admin0Name_en,admin0Name_vi,admin0Pcode,date,validOn,validTo
111,Chau Thanh,Huyện Châu Thành,VN81705,NA,NA,NA,NA,NA,Tra Vinh,Trà Vinh,VN817,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
112,Chau Thanh,Huyện Châu Thành,VN81908,NA,NA,NA,NA,NA,Soc Trang,Sóc Trăng,VN819,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
113,Chau Thanh A,Huyện Châu Thành A,VN81603,NA,NA,NA,NA,NA,Hau Giang,Hậu Giang,VN816,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
114,Chi Lang,Huyện Chi Lăng,VN20917,NA,NA,NA,NA,NA,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
115,Chi Linh,Thị xã Chí Linh,VN10703,NA,NA,NA,NA,NA,Hai Duong,Hải Dương,VN107,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
116,Chiem Hoa,Huyện Chiêm Hóa,VN21105,NA,NA,NA,NA,NA,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
117,Cho Don,Huyện Chợ Đồn,VN20707,NA,NA,NA,NA,NA,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
118,Cho Gao,Huyện Chợ Gạo,VN80711,NA,NA,NA,NA,NA,Tien Giang,Tiền Giang,VN807,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
119,Cho Lach,Huyện Chợ Lách,VN81105,NA,NA,NA,NA,NA,Ben Tre,Bến Tre,VN811,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
120,Cho Moi,Huyện Chợ Mới,VN20712,NA,NA,NA,NA,NA,Bac Kan,Bắc Kạn,VN207,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
121,Cho Moi,Huyện Chợ Mới,VN80517,NA,NA,NA,NA,NA,An Giang,An Giang,VN805,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
122,Chon Thanh,Huyện Chơn Thành,VN70708,NA,NA,NA,NA,NA,Binh Phuoc,Bình Phước,VN707,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
123,Chu Pah,Huyện Chư Păh,VN60307,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
124,Chu Prong,Huyện Chư Prông,VN60317,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
125,Chu Puh,Huyện Chư Pưh,VN60325,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
126,Chu Se,Huyện Chư Sê,VN60319,NA,NA,NA,NA,NA,Gia Lai,Gia Lai,VN603,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
127,Chuong My,Huyện Chương Mỹ,VN10141,NA,NA,NA,NA,NA,Ha Noi,TP. Hà Nội,VN101,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
128,Co Do,Huyện Cờ Đỏ,VN81513,NA,NA,NA,NA,NA,Can Tho city,TP. Cần Thơ,VN815,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
129,Co To,Huyện Cô Tô,VN22523,NA,NA,NA,NA,NA,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
130,Con Co,Huyện Cồn Cỏ,VN40906,NA,NA,NA,NA,NA,Quang Tri,Quảng Trị,VN409,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
131,Con Cuong,Huyện Con Cuông,VN40321,NA,NA,NA,NA,NA,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
132,Con Dao,Huyện Côn Đảo,VN71714,NA,NA,NA,NA,NA,Ba Ria - Vung Tau,Bà Rịa - Vũng Tàu,VN717,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
133,Cu Chi,Huyện Củ Chi,VN70135,NA,NA,NA,NA,NA,Ho Chi Minh city,TP. Hồ Chí Minh,VN701,Viet Nam,Việt Nam,VN,1569888000000,1578009600000,NA
