OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
56,Managua,NI1202,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
57,Masatepe,NI1303,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
58,Masaya,NI1304,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
59,Matagalpa,NI1403,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
60,Mateare,NI1203,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
61,Matiguás,NI1404,Matiguas,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
62,Morrito,NI1602,NA,NA,NA,Río San Juan,NI16,Nicaragua,NI,1507680000000,1597276800000,NA
63,Moyogalpa,NI1704,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
64,Mozonte,NI1506,NA,Mosonte,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
65,Muelle de los Bueyes,NI0207,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
66,Murra,NI1507,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
67,Muy Muy,NI1405,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
68,Nagarote,NI1007,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
69,Nandaime,NI0804,NA,NA,NA,Granada,NI08,Nicaragua,NI,1507680000000,1597276800000,NA
70,Nandasmo,NI1305,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
71,Nindirí,NI1306,Nindiri,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
72,Niquinohomo,NI1307,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
73,Nueva Guinea,NI0208,NA,NA,NA,Atlántico Sur,NI02,Nicaragua,NI,1507680000000,1597276800000,NA
74,Ocotal,NI1508,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
75,Palacagüina,NI1102,Palacaguina,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
76,Posoltega,NI0507,NA,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
77,Potosí,NI1705,Potosi,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
78,Prinzapolka,NI0102,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
79,Pueblo Nuevo,NI0704,NA,Plueblo Nuevo,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
80,Puerto Cabezas,NI0103,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
81,Puerto Morazán,NI0508,Puerto Morazan,NA,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
82,Quezalguaque,NI1008,NA,NA,NA,León,NI10,Nicaragua,NI,1507680000000,1597276800000,NA
83,Quilalí,NI1509,Quilali,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
84,Rancho Grande,NI1406,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
85,Río Blanco,NI1407,Rio Blanco,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
86,Rivas,NI1706,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
87,Rosita,NI0104,NA,NA,NA,Atlántico Norte,NI01,Nicaragua,NI,1507680000000,1597276800000,NA
88,San Carlos,NI1603,NA,NA,NA,Río San Juan,NI16,Nicaragua,NI,1507680000000,1597276800000,NA
89,San Dionisio,NI1408,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
90,San Fernando,NI1510,NA,NA,NA,Nueva Segovia,NI15,Nicaragua,NI,1507680000000,1597276800000,NA
91,San Francisco del Norte,NI0509,NA,San Fransico del Norte,NA,Chinandega,NI05,Nicaragua,NI,1507680000000,1597276800000,NA
92,San Francisco Libre,NI1204,NA,NA,NA,Managua,NI12,Nicaragua,NI,1507680000000,1597276800000,NA
93,San Isidro,NI1409,NA,NA,NA,Matagalpa,NI14,Nicaragua,NI,1507680000000,1597276800000,NA
94,San Jorge,NI1707,NA,NA,NA,Rivas,NI17,Nicaragua,NI,1507680000000,1597276800000,NA
95,San José de Cusmapa,NI1103,San Jose de Cusmapa,NA,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
96,San José de los Remates,NI0303,San Jose de los Remates,NA,NA,Boaco,NI03,Nicaragua,NI,1507680000000,1597276800000,NA
97,San Juan de Limay,NI0705,NA,NA,NA,Estelí,NI07,Nicaragua,NI,1507680000000,1597276800000,NA
98,San Juan de Oriente,NI1308,NA,NA,NA,Masaya,NI13,Nicaragua,NI,1507680000000,1597276800000,NA
99,San Juan del Norte,NI1604,NA,NA,NA,Río San Juan,NI16,Nicaragua,NI,1507680000000,1597276800000,NA
100,San Juan del Río Coco,NI1104,San Juan del Rio Coco,<Null>,NA,Madriz,NI11,Nicaragua,NI,1507680000000,1597276800000,NA
