OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,SenDist_en,SenDistPcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
317,Jakusko,NG036009006,Jakusko,Jakusko, ,Jakusko,NG036009,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
318,Jambutu,NG002020005,Jambutu,Jambutu, ,Yola North,NG002020,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
319,Janga,NG036004005,Janga,Janga / Boza / Fa. Sawa / T. Nanai, ,Fika,NG036004,Yobe South,NG03603,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
320,Jara-Dali,NG008004005,Jara-Dali,Jara Dali, ,Bayo,NG008004,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
321,Jara-Gol,NG008004006,Jara-Gol,Jara Gol, ,Bayo,NG008004,Borno South,NG00803,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
322,Jarawa,NG008015001,Jarawa,Jarawa/Sangaya, ,Kala/Balge,NG008015,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
323,Jawa G Dole,NG036002006,Jawa G Dole,Garun Dole / Garin Alkali, ,Bursari,NG036002,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
324,Jawur Katamma,NG036009007,Jawur Katamma,Jawur/Katamma, ,Jakusko,NG036009,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
325,Jebuwa,NG036017004,Jebuwa,Jebuwa, ,Yusufari,NG036017,Yobe North,NG03602,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
326,Jera Bakari,NG002005006,Jera Bakari,Jera Bakari, ,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
327,Jera Bonyo,NG002005007,Jera Bonyo,Jera Bonyo, ,Girei,NG002005,Adamawa Central,NG00201,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
328,Jereng,NG002012008,Jereng,Nassarawo Jereng, ,Mayo-Belwa,NG002012,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
329,Jigalambu,NG002013004,Jigalambu,Jigalambu, ,Michika,NG002013,Adamawa North,NG00202,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
330,Jigalta,NG008026006,Jigalta,Jigalta, ,Nganzai,NG008026,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
331,Jilbe,NG008015002,Jilbe,"Jilbe  ""A""", ,Kala/Balge,NG008015,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
332,Jororo,NG036006009,Jororo,Shame Kura / Dilawa, ,Geidam,NG036006,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
333,Juluri Damnawa,NG036002007,Juluri Damnawa,Damnawa/Juluri, ,Bursari,NG036002,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
334,Jumbam,NG036015004,Jumbam,Jumbam, ,Tarmua,NG036015,Yobe East,NG03601,Yobe,NG036,Nigeria,NG,1490918400000,1555459200000,NA
335,Jumbul,NG002017005,Jumbul,Jumbul, ,Shelleng,NG002017,Adamawa South,NG00203,Adamawa,NG002,Nigeria,NG,1490918400000,1555459200000,NA
336,K Kaudi,NG008015003,K Kaudi,"Jilbe ""B""/Koma Kaudi", ,Kala/Balge,NG008015,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
337,K Kumaga,NG008015005,K Kumaga,Kumaga, ,Kala/Balge,NG008015,Borno Central,NG00801,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
338,Kabulawa,NG008022005,Kabulawa,Kabulawa, ,Marte,NG008022,Borno North,NG00802,Borno,NG008,Nigeria,NG,1490918400000,1555459200000,NA
