OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
151,Patzicía,GT0409,Patzicia,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
152,Patzité,GT1407,Patzite,NA,NA,Quiché,GT14,Guatemala,GT,1537833600000,1549497600000,NA
153,Patzún,GT0407,Patzun,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
154,Petapa,GT0117,Petapa,NA,NA,Guatemala,GT01,Guatemala,GT,1537833600000,1549497600000,NA
155,Petatán,GT1333,Petatan,NA,NA,Huehuetenango,GT13,Guatemala,GT,1537833600000,1549497600000,NA
156,Pochuta,GT0408,Pochuta,NA,NA,Chimaltenango,GT04,Guatemala,GT,1537833600000,1549497600000,NA
157,Poptún,GT1712,Poptun,NA,NA,Petén,GT17,Guatemala,GT,1537833600000,1549497600000,NA
158,Pueblo Nuevo,GT1019,Pueblo Nuevo,NA,NA,Suchitepéquez,GT10,Guatemala,GT,1537833600000,1549497600000,NA
159,Pueblo Nuevo Viñas,GT0613,Pueblo Nuevo Vinas,NA,NA,Santa Rosa,GT06,Guatemala,GT,1537833600000,1549497600000,NA
160,Puerto Barrios,GT1801,Puerto Barrios,NA,NA,Izabal,GT18,Guatemala,GT,1537833600000,1549497600000,NA
161,Purulhá,GT1508,Purulha,NA,NA,Baja Verapaz,GT15,Guatemala,GT,1537833600000,1549497600000,NA
162,Quesada,GT2217,Quesada,NA,NA,Jutiapa,GT22,Guatemala,GT,1537833600000,1549497600000,NA
163,Quetzaltenango,GT0901,Quetzaltenango,NA,NA,Quetzaltenango,GT09,Guatemala,GT,1537833600000,1549497600000,NA
164,Quezaltepeque,GT2009,Quezaltepeque,NA,NA,Chiquimula,GT20,Guatemala,GT,1537833600000,1549497600000,NA
165,Rabinal,GT1503,Rabinal,NA,NA,Baja Verapaz,GT15,Guatemala,GT,1537833600000,1549497600000,NA
166,Raxruhá,GT1617,Raxruha,NA,NA,Alta Verapaz,GT16,Guatemala,GT,1537833600000,1549497600000,NA
