OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
53,Gungu,CD3210,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
54,Idiofa,CD3206,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
55,Idjwi,CD6206,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
56,Ikela,CD4505,NA,NA,NA,Tshuapa,CD45,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
57,Ilebo,CD9205,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
58,Ingbokolo,CD5411,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
59,Ingende,CD4109,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
60,Inkisi,CD2018,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
61,Inongo,CD3302,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
62,Irumu,CD5402,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
63,Isangi,CD5105,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
64,Isiro,CD5301,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
65,Kabalo,CD7407,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
66,Kabambare,CD6309,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
67,Kabare,CD6202,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
68,Kabeya-Kamwanga,CD8207,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
69,Kabinda,CD8102,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
70,Kabongo,CD7304,NA,NA,NA,Haut-Lomami,CD73,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
71,Kahemba,CD3105,NA,NA,NA,Kwango,CD31,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
72,Kailo,CD6302,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
73,Kalehe,CD6205,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
74,Kalemie,CD7402,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
75,Kalima,CD6308,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
76,Kambove,CD7105,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
77,Kamiji,CD8105,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
78,Kamina,CD7302,NA,NA,NA,Haut-Lomami,CD73,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
79,Kamituga,CD6213,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
80,Kamonia,CD9202,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
81,Kananga,CD9101,NA,NA,NA,Kasaï-Central,CD91,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
82,Kaniama,CD7303,NA,NA,NA,Haut-Lomami,CD73,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
83,Kaoze,CD7403,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
84,Kapanga,CD7207,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
85,Kasaji,CD7204,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
86,Kasangulu,CD2015,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
87,Kasenga,CD7107,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
88,Kasongo,CD6311,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
89,Kasongo-Lunda,CD3107,NA,NA,NA,Kwango,CD31,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
90,Katako-Kombe,CD8308,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
91,Katanda,CD8209,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
92,Kazumba,CD9105,NA,NA,NA,Kasaï-Central,CD91,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
93,Kenge,CD3102,NA,NA,NA,Kwango,CD31,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
94,Kibombo,CD6313,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
95,Kikwit,CD3203,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
96,Kimvula,CD2019,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
97,Kindu,CD6301,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
98,Kinshasa,CD1000,NA,NA,NA,Kinshasa,CD10,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
99,Kipushi,CD7102,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
100,Kiri,CD3303,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
101,Kisangani,CD5101,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
102,Kole,CD8306,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
103,Kolwezi,CD7201,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
104,Kongolo,CD7409,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
105,Kungu,CD4204,NA,NA,NA,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
106,Kutu,CD3306,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
107,Kwamouth,CD3307,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
108,Libenge,CD4205,NA,NA,NA,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
109,Likasi,CD7106,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
110,Lisala,CD4402,NA,NA,NA,Mongala,CD44,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
111,Lodja,CD8303,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
112,Lomela,CD8307,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
113,Lubao,CD8108,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
114,Lubefu,CD8309,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
115,Lubero,CD6105,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
116,Lubudi,CD7203,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
117,Lubumbashi,CD7101,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
118,Lubutu,CD6305,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
119,Luebo,CD9204,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
120,Luilu,CD8104,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
121,Luiza,CD9104,NA,NA,NA,Kasaï-Central,CD91,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
122,Lukalaba,CD8204,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
123,Lukolela,CD4103,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
124,Lukula,CD2005,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
125,Luozi,CD2010,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
126,Lupatapata,CD8208,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
127,Lusambo,CD8302,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
128,Madimba,CD2017,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
129,Mahagi,CD5407,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
130,Makanza,CD4105,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
131,Malemba-Nkulu,CD7305,NA,NA,NA,Haut-Lomami,CD73,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
132,Mambasa,CD5403,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
133,Mangai,CD3208,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
134,Manono,CD7406,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
135,Masi-Manimba,CD3212,NA,NA,NA,Kwilu,CD32,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
136,Masisi,CD6103,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
137,Matadi,CD2001,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
138,Mbandaka,CD4101,NA,NA,NA,Equateur,CD41,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
139,Mbanza-Ngungu,CD2013,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
140,Mbuji-Mayi,CD8201,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
141,Miabi,CD8205,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
142,Mitwaba,CD7108,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
143,Moanda,CD2003,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
144,Moba,CD7404,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
145,Mobayi-Mbongo,CD4302,NA,NA,NA,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
146,Mongwalu,CD5404,NA,NA,NA,Ituri,CD54,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
147,Monkoto,CD4507,NA,NA,NA,Tshuapa,CD45,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
148,Mushie,CD3311,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
149,Mutshatsha,CD7202,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
150,Mweka,CD9207,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
151,Mwene-Ditu,CD8103,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
152,Mwenga,CD6212,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
153,Namoya,CD6310,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
154,Ngandajika,CD8106,NA,NA,NA,Lomami,CD81,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
155,Niangara,CD5303,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
156,Nioki,CD3305,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
157,Nyiragongo,CD6102,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
158,Nyunzu,CD7410,NA,NA,NA,Tanganyika,CD74,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
159,Oïcha,CD6107,Oicha,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
160,Opala,CD5103,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
161,Oshwe,CD3304,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
162,Pangi,CD6307,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
163,Poko,CD5208,NA,NA,NA,Bas-Uele,CD52,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
164,Popokabaka,CD3108,NA,NA,NA,Kwango,CD31,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
165,Punia,CD6303,NA,NA,NA,Maniema,CD63,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
166,Pweto,CD7109,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
167,Rungu,CD5302,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
168,Rutshuru,CD6111,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
169,Sakania,CD7104,NA,NA,NA,Haut-Katanga,CD71,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
170,Sandoa,CD7206,NA,NA,NA,Lualaba,CD72,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
171,Seke-Banza,CD2009,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
172,Shabunda,CD6203,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
173,Songololo,CD2011,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
174,Tshela,CD2007,NA,NA,NA,Kongo-Central,CD20,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
175,Tshikapa,CD9201,NA,NA,NA,Kasaï,CD92,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
176,Tshilenge,CD8202,NA,NA,NA,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
177,Tshimbulu,CD9103,NA,NA,NA,Kasaï-Central,CD91,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
178,Tshumbe,CD8311,NA,NA,NA,Sankuru,CD83,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
179,Ubundu,CD5102,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
180,Uvira,CD6208,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
181,Walikale,CD6104,NA,NA,NA,Nord-Kivu,CD61,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
182,Walungu,CD6207,NA,NA,NA,Sud-Kivu,CD62,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
183,Wamba,CD5311,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
184,Watsa,CD5309,NA,NA,NA,Haut-Uele,CD53,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
185,Yahuma,CD5107,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
186,Yakoma,CD4304,NA,NA,NA,Nord-Ubangi,CD43,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
187,Yangambi,CD5106,NA,NA,NA,Tshopo,CD51,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
188,Yumbi,CD3310,NA,NA,NA,Maï-Ndombe,CD33,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
189,Zongo,CD4206,NA,NA,NA,Sud-Ubangi,CD42,République démocratique du Congo (la),CD,1567728000000,1568160000000,NA
