admin0Name_fr,admin0Pcode,admin1Name_fr,admin1Pcode,admin2AltName1_fr,admin2AltName2_fr,admin2Name_fr,admin2Pcode,admin2RefName
Burundi,BDI,Ruyigi,BDI016,Ruyigi (Ruyigi),NA,Ruyigi,BDI016007,Ruyigi
Burundi,BDI,Karuzi,BDI007,Shombo (Karuzi),NA,Shombo,BDI007007,Shombo
Burundi,BDI,Ruyigi,BDI016,Butezi (Ruyigi),NA,Butezi,BDI016002,Butezi
Burundi,BDI,Karuzi,BDI007,Nyabikere (Karuzi),NA,Nyabikere,BDI007006,Nyabikere
Burundi,BDI,Ruyigi,BDI016,Bweru (Ruyigi),NA,Bweru,BDI016003,Bweru
Burundi,BDI,Karuzi,BDI007,Gitaramuka (Karuzi),NA,Gitaramuka,BDI007004,Gitaramuka
Burundi,BDI,Ngozi,BDI014,Gashikanwa (Ngozi),NA,Gashikanwa,BDI014002,Gashikanwa
Burundi,BDI,Gitega,BDI006,Mutaho (Gitega),NA,Mutaho,BDI006009,Mutaho
Burundi,BDI,Kayanza,BDI008,Muhanga (Kayanza),NA,Muhanga,BDI008007,Muhanga
Burundi,BDI,Ngozi,BDI014,Ngozi (Ngozi),NA,Ngozi,BDI014006,Ngozi
Burundi,BDI,Karuzi,BDI007,Bugenyuzi (Karuzi),NA,Bugenyuzi,BDI007001,Bugenyuzi
Burundi,BDI,Karuzi,BDI007,Gihogazi (Karuzi),NA,Gihogazi,BDI007003,Gihogazi
Burundi,BDI,Ngozi,BDI014,Ruhororo (Ngozi),NA,Ruhororo,BDI014008,Ruhororo
Burundi,BDI,Ngozi,BDI014,Tangara (Ngozi),NA,Tangara,BDI014009,Tangara
Burundi,BDI,Kirundo,BDI009,Vumbi (Kirundo),NA,Vumbi,BDI009007,Vumbi
Burundi,BDI,Ngozi,BDI014,Kiremba (Ngozi),NA,Kiremba,BDI014003,Kiremba
Burundi,BDI,Kirundo,BDI009,Kirundo (Kirundo),NA,Kirundo,BDI009005,Kirundo
Burundi,BDI,Cankuzo,BDI004,Cankuzo (Cankuzo),NA,Cankuzo,BDI004001,Cankuzo
Burundi,BDI,Karuzi,BDI007,Mutumba (Karuzi),NA,Mutumba,BDI007005,Mutumba
Burundi,BDI,Karuzi,BDI007,Buhiga (Karuzi),NA,Buhiga,BDI007002,Buhiga
Burundi,BDI,Muyinga,BDI012,Mwakiro (Muyinga),NA,Mwakiro,BDI012007,Mwakiro
Burundi,BDI,Muyinga,BDI012,Gasorwe (Muyinga),NA,Gasorwe,BDI012004,Gasorwe
Burundi,BDI,Muyinga,BDI012,Gashoho (Muyinga),NA,Gashoho,BDI012003,Gashoho
Burundi,BDI,Kirundo,BDI009,Gitobe (Kirundo),NA,Gitobe,BDI009004,Gitobe
Burundi,BDI,Kirundo,BDI009,Bwambarangwe (Kirundo),NA,Bwambarangwe,BDI009003,Bwambarangwe
Burundi,BDI,Kirundo,BDI009,Ntega (Kirundo),NA,Ntega,BDI009006,Ntega
Burundi,BDI,Ngozi,BDI014,Marangara (Ngozi),NA,Marangara,BDI014004,Marangara
Burundi,BDI,Ngozi,BDI014,Nyamurenza (Ngozi),NA,Nyamurenza,BDI014007,Nyamurenza
Burundi,BDI,Ngozi,BDI014,Mwumba (Ngozi),NA,Mwumba,BDI014005,Mwumba
Burundi,BDI,Ngozi,BDI014,Busiga (Ngozi),NA,Busiga,BDI014001,Busiga
Burundi,BDI,Kayanza,BDI008,Kabarore (Kayanza),NA,Kabarore,BDI008004,Kabarore
Burundi,BDI,Cibitoke,BDI005,Bukinanyana (Cibitoke),NA,Bukinanyana,BDI005002,Bukinanyana
Burundi,BDI,Cibitoke,BDI005,Mabayi (Cibitoke),NA,Mabayi,BDI005003,Mabayi
Burundi,BDI,Cibitoke,BDI005,Mugina (Cibitoke),NA,Mugina,BDI005004,Mugina
Burundi,BDI,Cibitoke,BDI005,Rugombo (Cibitoke),NA,Rugombo,BDI005006,Rugombo
Burundi,BDI,Cibitoke,BDI005,Buganda (Cibitoke),NA,Buganda,BDI005001,Buganda
Burundi,BDI,Bubanza,BDI001,Gihanga (Bubanza),NA,Gihanga,BDI001002,Gihanga
Burundi,BDI,Bujumbura Rural,BDI002,Mutimbuzi (Bujumbura Rural),NA,Mutimbuzi,BDI002010,Mutimbuzi
Burundi,BDI,Makamba,BDI010,Nyanza-Lac (Makamba),NA,Nyanza-Lac,BDI010005,Nyanza-Lac
Burundi,BDI,Makamba,BDI010,Mabanda (Makamba),NA,Mabanda,BDI010003,Mabanda
Burundi,BDI,Rutana,BDI015,Giharo (Rutana),NA,Giharo,BDI015002,Giharo
Burundi,BDI,Ruyigi,BDI016,Kinyinya (Ruyigi),NA,Kinyinya,BDI016005,Kinyinya
Burundi,BDI,Ruyigi,BDI016,Gisuru (Ruyigi),NA,Gisuru,BDI016004,Gisuru
Burundi,BDI,Cankuzo,BDI004,Cendajuru (Cankuzo),NA,Cendajuru,BDI004002,Cendajuru
Burundi,BDI,Cankuzo,BDI004,Gisagara (Cankuzo),NA,Gisagara,BDI004003,Gisagara
Burundi,BDI,Cankuzo,BDI004,Mishiha (Cankuzo),NA,Mishiha,BDI004005,Mishiha
Burundi,BDI,Cankuzo,BDI004,Kigamba (Cankuzo),NA,Kigamba,BDI004004,Kigamba
Burundi,BDI,Muyinga,BDI012,Buhinyuza (Muyinga),NA,Buhinyuza,BDI012001,Buhinyuza
Burundi,BDI,Muyinga,BDI012,Muyinga (Muyinga),NA,Muyinga,BDI012006,Muyinga
Burundi,BDI,Muyinga,BDI012,Butihinda (Muyinga),NA,Butihinda,BDI012002,Butihinda
Burundi,BDI,Muyinga,BDI012,Giteranyi (Muyinga),NA,Giteranyi,BDI012005,Giteranyi
Burundi,BDI,Kirundo,BDI009,Busoni (Kirundo),NA,Busoni,BDI009002,Busoni
Burundi,BDI,Kirundo,BDI009,Bugabira (Kirundo),NA,Bugabira,BDI009001,Bugabira
Burundi,BDI,Makamba,BDI010,Kayogoro (Makamba),NA,Kayogoro,BDI010001,Kayogoro
Burundi,BDI,Rutana,BDI015,Bukemba (Rutana),NA,Bukemba,BDI015001,Bukemba
Burundi,BDI,Kayanza,BDI008,Matongo (Kayanza),NA,Matongo,BDI008006,Matongo
Burundi,BDI,Kayanza,BDI008,Muruta (Kayanza),NA,Muruta,BDI008008,Muruta
Burundi,BDI,Bubanza,BDI001,Musigati (Bubanza),NA,Musigati,BDI001004,Musigati
Burundi,BDI,Bujumbura Mairie,BDI017,Muha (Bujumbura Mairie),NA,Muha,BDI017014,Muha
Burundi,BDI,Bujumbura Mairie,BDI017,Mukaza (Bujumbura Mairie),NA,Mukaza,BDI017015,Mukaza
Burundi,BDI,Bujumbura Mairie,BDI017,Ntahangwa (Bujumbura Mairie),NA,Ntahangwa,BDI017016,Ntahangwa
Burundi,BDI,Makamba,BDI010,Kibago (Makamba),NA,Kibago,BDI010002,Kibago
