OBJECTID,admin2Name_en,admin2Name_lo,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_lo,admin2AltName2_lo,admin1Name_en,admin1Name_lo,admin1Pcode,admin0Name_en,admin0Name_lo,admin0Pcode,date,validOn,validTo
109,Songkhone,ມ. ສອງຄອນ,LA1308,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
110,Sopbao,ມ. ສົບເບົາ,LA0707,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
111,Sukhuma,ມ. ສຸຂຸມາ,LA1608,NA,NA,NA,NA,NA,Champasack,ຈຳປາສັກ,LA16,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
112,Ta Oi,ມ. ຕະໂອ່ຍ,LA1402,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
113,Thakhek,ມ. ທ່າແຂກ,LA1201,NA,NA,NA,NA,NA,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
114,Thapangthong,ມ. ທາພັງທອງ,LA1307,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
115,Thaphabath,ມ. ທ່າພະບາດ,LA1102,NA,NA,NA,NA,NA,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
116,Thateng,ມ. ທ່າແຕງ,LA1504,NA,NA,NA,NA,NA,Sekong,ເຊກອງ,LA15,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
117,Thathom,ມ. ທາໂທມ,LA1802,NA,NA,NA,NA,NA,Xaisomboon,ໄຊສົມບູນ,LA18,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
118,Thongmyxay,ມ. ທົ່ງມີໄຊ,LA0810,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
119,Thoulakhom,ມ. ທຸລະຄົມ,LA1002,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
120,Tonpheung,ມ. ຕົ້ນເຜິ້ງ,LA0502,NA,NA,NA,NA,NA,Bokeo,ບໍ່ແກ້ວ,LA05,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
121,Toomlarn,ມ. ຕຸ້ມລານ,LA1403,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
122,Vangvieng,ມ. ວັງວຽງ,LA1005,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
123,Vapy,ມ. ວາປີ,LA1405,NA,NA,NA,NA,NA,Salavan,ສາລະວັນ,LA14,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
124,Viengkham,ມ. ວຽງຄຳ,LA0610,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
125,Viengkham,ມ. ວຽງຄຳ,LA1009,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
126,Viengphoukha,ມ. ວຽງພູຄາ,LA0304,NA,NA,NA,NA,NA,Louangnamtha,ຫຼວງນ້ຳທາ,LA03,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
127,Viengthong,ມ. ວຽງທອງ,LA1106,NA,NA,NA,NA,NA,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
128,Viengxay,ມ. ວຽງໄຊ,LA0704,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
129,Vilabuly,ມ. ວິລະບູລີ,LA1312,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
130,Xamneua,ມ. ຊຳເໜືອ,LA0701,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
131,Xamtay,ມ. ຊຳໃຕ້,LA0706,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
132,Xanakharm,ມ. ຊະນະຄາມ,LA1007,NA,NA,NA,NA,NA,Vientiane,ວຽງຈັນ,LA10,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
133,Xay,ມ. ໄຊ,LA0401,NA,NA,NA,NA,NA,Oudomxai,ອຸດົມໄຊ,LA04,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
134,Xayabury,ມ. ໄຊຍະບູລີ,LA0801,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
135,Xaybuathong,ມ. ໄຊບົວທອງ,LA1209,NA,NA,NA,NA,NA,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
136,Xaybuly,ມ. ໄຊບູລີ,LA1311,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
137,Xaychamphone,ມ. ໄຊຈຳພອນ,LA1107,NA,NA,NA,NA,NA,Bolikhamxai,ບໍລິຄຳໄຊ,LA11,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
138,Xayphoothong,ມ. ໄຊພູທອງ,LA1314,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
139,Xaysathan,ມ. ໄຊສະຖານ,LA0811,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
140,Xaysetha,ມ. ໄຊເສດຖາ,LA0103,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
141,Xaysetha,ມ. ໄຊເສດຖາ,LA1701,NA,NA,NA,NA,NA,Attapeu,ອັດຕະປື,LA17,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
142,Xaythany,ມ. ໄຊທະນີ,LA0106,NA,NA,NA,NA,NA,Vientiane Capital,ນະຄອນຫຼວງວຽງຈັນ,LA01,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
143,Xebangfay,ມ. ເຊບັ້ງໄຟ,LA1208,NA,NA,NA,NA,NA,Khammouan,ຄຳມ່ວນ,LA12,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
144,Xieng Ngeun,ມ. ຊຽງເງີນ,LA0602,NA,NA,NA,NA,NA,Louangphabang,ຫຼວງພະບາງ,LA06,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
145,Xienghone,ມ. ຊຽງຮ່ອນ,LA0805,NA,NA,NA,NA,NA,Xaignabouly,ໄຊຍະບູລີ,LA08,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
146,Xiengkhor,ມ. ຊຽງຄໍ້,LA0702,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
147,Xon,ມ. ຊ່ອນ,LA0710,NA,NA,NA,NA,NA,Houaphan,ຫົວພັນ,LA07,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
148,Xonbuly,ມ. ຊົນບູລີ,LA1310,NA,NA,NA,NA,NA,Savannakhet,ສະຫວັນນະເຂດ,LA13,Lao People's Democratic Republic (the),ສາທາລະນະລັດ ປະຊາທ,LA,1458950400000,1573516800000,NA
