OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
323,Tami,TG051616,NA,NA,NA,Tone,TG0516,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
324,Tamongue,TG051515,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
325,Tampialime,TG051516,NA,NA,NA,Tandjoare,TG0515,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
326,Tchalo,TG010511,NA,NA,NA,Tchaoudjo,TG0105,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
327,Tchaloude,TG010114,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
328,Tchamba,TG010410,NA,NA,NA,Tchamba,TG0104,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
329,Tchamonga,TG051908,NA,NA,NA,Oti-Sud,TG0519,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
330,Tchanaga,TG051408,NA,NA,NA,Oti,TG0514,Savanes,TG05,Togo,TG,1608076800000,1609977600000,NA
331,Tchare,TG020713,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
332,Tchare-Baou,TG010115,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
333,Tchebebe,TG010310,NA,NA,NA,Sotouboua,TG0103,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
334,Tchekpo,TG030709,NA,NA,NA,Yoto,TG0307,Maritime,TG03,Togo,TG,1608076800000,1609977600000,NA
335,Tchifama,TG010116,NA,NA,NA,Blitta,TG0101,Centrale,TG01,Togo,TG,1608076800000,1609977600000,NA
336,Tchitchao,TG020714,NA,NA,NA,Kozah,TG0207,Kara,TG02,Togo,TG,1608076800000,1609977600000,NA
