OBJECTID,admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
220, , , ,KG08209000907,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
221, , , ,KG08209000908,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
222, , , ,KG08209000909,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
223, , , ,KG08209000910,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
224, , , ,KG08209000911,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
225, , , ,KG08209000912,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
226, , , ,KG08209000913,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
227, , , ,KG08209000914,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
228, , , ,KG08209000915,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
229, , , ,KG08209000916,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
230, , , ,KG08209000917,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
231, , , ,KG08209000918,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
232, , , ,KG08213000902,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
233, , , ,KG08213000904,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,National park,Национальный парк,Улуттук парк
234, , , ,KG08213000907,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
235, , , ,KG08213000908,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
236, , , ,KG08213000909,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
237, , , ,KG08213000910,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
238, , , ,KG08213000911,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
239, , , ,KG08217000901,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
240, , , ,KG08217000902,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
241, , , ,KG08217000907,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
242, , , ,KG08217000908,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
243, , , ,KG08217000909,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
244, , , ,KG08217000910,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
245, , , ,KG08217000911,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
246, , , ,KG08217000912,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
247, , , ,KG08217000913,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
248, , , ,KG08217000914,NA,NA,NA,NA,NA,NA,NA,Moscow,Московский,Москва,KG08217000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
249, , , ,KG08219000901,NA,NA,NA,NA,NA,NA,NA,Panfilov,Панфиловский,Панфилов,KG08219000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
250, , , ,KG08219000902,NA,NA,NA,NA,NA,NA,NA,Panfilov,Панфиловский,Панфилов,KG08219000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
251, , , ,KG08222000902,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
252, , , ,KG08222000907,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
253, , , ,KG08222000908,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
254, , , ,KG08222000909,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
255, , , ,KG08222000910,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
256, , , ,KG08222000911,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
257, , , ,KG08222000912,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
258, , , ,KG08222000913,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
259, , , ,KG08222000914,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
260, , , ,KG08222000915,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
261, , , ,KG08222000916,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
262, , , ,KG08222000917,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
263, , , ,KG08222000918,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
264, , , ,KG08222000919,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
265, , , ,KG08222000920,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
266, , , ,KG08222000921,NA,NA,NA,NA,NA,NA,NA,Sokuluk,Сокулукский,Сокулук,KG08222000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
267, , , ,KG08223000901,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Forestry,Лесхоз,Токой чарба
268, , , ,KG08223000902,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Government reserved land,Госземзапас,Мамлекеттик жер запасы
269, , , ,KG08223000907,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
270, , , ,KG08223000908,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
271, , , ,KG08223000909,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
272, , , ,KG08223000910,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
273, , , ,KG08223000911,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
274, , , ,KG08223000912,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
275, , , ,KG08223000913,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
276, , , ,KG08223000914,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
277, , , ,KG08223000915,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,Unknown,Неизвестно,Белгисиз
278,A. Duysheev,А.Дуйшеевский,Дүйшеев,KG08213826000,NA,NA,NA,NA,NA,NA,NA,Kemin,Кеминский,Кемин,KG08213000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
279,Abdrakhmanov,Абдрахмановский,Абдрахманов,KG02215835000,NA,NA,NA,NA,NA,NA,NA,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
280,Abdy Suerkulov,Абды Суеркуловский,Абды Сүйөркулов,KG03225843000,NA,NA,NA,NA,NA,NA,NA,Toktogul,Токтогульский,Токтогул,KG03225000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
281,Absamat Masaliev,Абсамат Масалиевский,Абсамат Масалиев,KG05258819000,NA,NA,NA,NA,NA,NA,NA,Kadamjai,Кадамжайский,Кадамжай,KG05258000000,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
282,Acha-Kaindy,Ача-Каиндинский,Ача-Кайыңды,KG04220813000,NA,NA,NA,NA,NA,NA,NA,Ak-Bashy,Ат-Башынский,Ат-Башы,KG04220000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
283,Ak-Bashat,Ак-Башатский,Ак-Башат,KG08209822000,NA,NA,NA,NA,NA,NA,NA,Jaiyl,Жайылский,Жайыл,KG08209000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
284,Ak-Beshim,Ак-Бешимский,Ак-Бешим,KG08223804000,NA,NA,NA,NA,NA,NA,NA,Chui,Чуйский,Чүй,KG08223000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
285,Ak-Bulak,Ак-Булакский,Ак-Булак,KG02225896000,NA,NA,NA,NA,NA,NA,NA,Tup,Тюпский,Түп,KG02225000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
286,Ak-Bulun,Ак-Булунский,Ак-Булуң,KG02205805000,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
287,Ak-Bulun,Ак-Булунский,Ак-Булуң,KG02225873000,NA,NA,NA,NA,NA,NA,NA,Tup,Тюпский,Түп,KG02225000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
288,Ak-Chiy,Ак-Чийский,Ак-Чий,KG02205840000,NA,NA,NA,NA,NA,NA,NA,Ak-Suu,Ак-Суйский,Ак-Суу,KG02205000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
289,Ak-Chiy,Ак-Чийский,Ак-Чий,KG04210808000,NA,NA,NA,NA,NA,NA,NA,Ak-Tala,Ак-Талинский,Ак-Талаа,KG04210000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
290,Ak-Chiy,Ак-Чийский,Ак-Чий,KG07215804000,NA,NA,NA,NA,NA,NA,NA,Kara-Buura,Кара-Бууринский,Кара-Буура,KG07215000000,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
291,Ak-Debe,Ак-Дебенский,Ак-Дөбө,KG02210805000,NA,NA,NA,NA,NA,NA,NA,Jeti-Oguz,Жети-Огузский,Жети-Өгүз,KG02210000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
292,Ak-Debe,Ак-Дебенский,Ак-Дөбө,KG07220840000,NA,NA,NA,NA,NA,NA,NA,Bakai-Ata,Бакай-Атинский,Бакай-Ата,KG07220000000,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
293,Ak-Debe,Ак-Дебенский,Ак-Дөбө,KG08203803000,NA,NA,NA,NA,NA,NA,NA,Alamudun,Аламудунский,Аламүдүн,KG08203000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
294,Ak-Djar,Ак-Джарский,Ак-Жар,KG04220803000,NA,NA,NA,NA,NA,NA,NA,Ak-Bashy,Ат-Башынский,Ат-Башы,KG04220000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
295,Ak-Djar,Ак-Джарский,Ак-Жар,KG06255804000,NA,NA,NA,NA,NA,NA,NA,Uzgen,Узгенский,Өзгөн,KG06255000000,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
296,Ak-Jol,Ак-Жолский,Ак-Жол,KG03211804000,NA,NA,NA,NA,NA,NA,NA,Aksy,Аксыйский,Аксы,KG03211000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
297,Ak-Korgon,Ак-Коргонский,Ак-Коргон,KG03204804000,NA,NA,NA,NA,NA,NA,NA,Ala-Buka,Ала-Букинский,Ала-Бука,KG03204000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
298,Ak-Kuduk,Ак-Кудукский,Ак-Кудук,KG04245806000,NA,NA,NA,NA,NA,NA,NA,Naryn,Нарынский,Нарын,KG04245000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
299,Ak-Kuduk,Ак-Кудукский,Ак-Кудук,KG08206803000,NA,NA,NA,NA,NA,NA,NA,Ysyk-Ata,Ысык-Атинский,Ысык-Ата,KG08206000000,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
300,Ak-Kyya,Ак-Кыянский,Ак-Кыя,KG04235806000,NA,NA,NA,NA,NA,NA,NA,Kochokor,Кочкорский,Кочкор,KG04235000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
301,Ak-Moyun,Ак-Моюнский,Ак-Моюн,KG04220806000,NA,NA,NA,NA,NA,NA,NA,Ak-Bashy,Ат-Башынский,Ат-Башы,KG04220000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
302,Ak-Muz,Ак-Музский,Ак-Муз,KG04220807000,NA,NA,NA,NA,NA,NA,NA,Ak-Bashy,Ат-Башынский,Ат-Башы,KG04220000000,Naryn,Нарынская,Нарын,KG04000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
303,Ak-Say,Ак-Сайский,Ак-Сай,KG05214848000,NA,NA,NA,NA,NA,NA,NA,Batken,Баткенский,Баткен,KG05214000000,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
304,Ak-Suu,Ак-Сууский,Ак-Суу,KG03211824000,NA,NA,NA,NA,NA,NA,NA,Aksy,Аксыйский,Аксы,KG03211000000,Jalal-Abad,Джалал-Абадская,Жалалабат,KG03000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
305,Ak-Suu,Ак-Сууский,Ак-Суу,KG05236802000,NA,NA,NA,NA,NA,NA,NA,Leilek,Лейлекский,Лейлек,KG05236000000,Batken,Баткенская,Баткен,KG05000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,1535414400000,1542585600000,NA,community,айылный аймак,айыл аймаг
