OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,ValidTo
39,Grande Sido,TD1302,Grande Sido,GRANDE SIDO,NA,NA,Moyen-Chari,TD13,Tchad,TD,1459987200000,1497484800000,NA
40,Lac Iro,TD1303,Lac Iro,LAC IRO,NA,NA,Moyen-Chari,TD13,Tchad,TD,1459987200000,1497484800000,NA
41,Ouara,TD1401,Ouara,OUARA,NA,NA,Ouaddaï,TD14,Tchad,TD,1459987200000,1497484800000,NA
42,Abdi,TD1402,Abdi,ABDI,NA,NA,Ouaddaï,TD14,Tchad,TD,1459987200000,1497484800000,NA
43,Assoungha,TD1403,Assoungha,ASSOUNGHA,NA,NA,Ouaddaï,TD14,Tchad,TD,1459987200000,1497484800000,NA
44,Bahr-Azoum,TD1501,Bahr-Azoum,BAHR-AZOUM,NA,NA,Salamat,TD15,Tchad,TD,1459987200000,1497484800000,NA
45,Aboudéia,TD1502,Aboudeia,ABOUDEIA,NA,NA,Salamat,TD15,Tchad,TD,1459987200000,1497484800000,NA
46,Haraze-Mangueigne,TD1503,Haraze-Mangueigne,HARAZE-MANGUEIGNE,NA,NA,Salamat,TD15,Tchad,TD,1459987200000,1497484800000,NA
47,Tandjilé Est,TD1601,Tandjile Est,TANDJILE EST,NA,NA,Tandjilé,TD16,Tchad,TD,1459987200000,1497484800000,NA
48,Biltine,TD1701,Biltine,BILTINE,NA,NA,Wadi Fira,TD17,Tchad,TD,1459987200000,1497484800000,NA
49,Dar-Tama,TD1702,Dar-Tama,DAR-TAMA,NA,NA,Wadi Fira,TD17,Tchad,TD,1459987200000,1497484800000,NA
50,Kobé,TD1703,Kobe,KOBE,NA,NA,Wadi Fira,TD17,Tchad,TD,1459987200000,1497484800000,NA
51,N'Djaména,TD1801,NDjamena,N'DJAMENA,NA,NA,N'Djamena,TD18,Tchad,TD,1459987200000,1497484800000,NA
52,Barh-El-Gazel Sud,TD1901,Barh-El-Gazel Sud,BARH-EL-GAZEL SUD,NA,NA,Barh-El-Gazel,TD19,Tchad,TD,1459987200000,1497484800000,NA
53,Barh-El-Gazel Ouest,TD1903,Barh-El-Gazel Ouest,BARH-EL-GAZEL OUEST,NA,NA,Barh-El-Gazel,TD19,Tchad,TD,1459987200000,1497484800000,NA
54,Am-Djarass,TD2001,Am-Djarass,AM-DJARASS,NA,NA,Ennedi Est,TD20,Tchad,TD,1459987200000,1497484800000,NA
55,Wadi Hawar,TD2002,Wadi Hawar,WADI HAWAR,NA,NA,Ennedi Est,TD20,Tchad,TD,1459987200000,1497484800000,NA
56,Kimiti,TD2101,Kimiti,KIMITI,NA,NA,Sila,TD21,Tchad,TD,1459987200000,1497484800000,NA
57,Djourf Al Ahmar,TD2102,Djourf Al Ahmar,DJOURF AL AHMAR,NA,NA,Sila,TD21,Tchad,TD,1459987200000,1497484800000,NA
58,Tibesti Est,TD2201,Tibesti Est,TIBESTI EST,NA,NA,Tibesti,TD22,Tchad,TD,1459987200000,1497484800000,NA
59,Tibesti Ouest,TD2202,Tibesti Ouest,TIBESTI OUEST,NA,NA,Tibesti,TD22,Tchad,TD,1459987200000,1497484800000,NA
60,Fada,TD2301,Fada,FADA,NA,NA,Ennedi Ouest,TD23,Tchad,TD,1459987200000,1497484800000,NA
61,Mourtcha,TD2303,Mourtcha,MOURTCHA,NA,NA,Ennedi Ouest,TD23,Tchad,TD,1459987200000,1497484800000,NA
62,Bahr-Köh,TD1301,Bahr-Koh,BAHR-KOH,NA,NA,Moyen-Chari,TD13,Tchad,TD,1459987200000,1497484800000,NA
63,Tandjile Ouest,TD1602,Tandjile Ouest,TANDJILE OUEST,NA,NA,Tandjilé,TD16,Tchad,TD,1459987200000,1497484800000,NA
64,Tandjilé Centre,TD1603,Tandjile Centre,TANDJILE CENTRE,NA,NA,Tandjilé,TD16,Tchad,TD,1459987200000,1497484800000,NA
65,Borkou Yala,TD0202,Borkou Yala,BORKOU YALA,NA,NA,Borkou,TD02,Tchad,TD,1459987200000,1497484800000,NA
66,Barh-El-Gazel Nord,TD1902,Barh-El-Gazel Nord,BARH-EL-GAZEL NORD,NA,NA,Barh-El-Gazel,TD19,Tchad,TD,1459987200000,1497484800000,NA
67,Mégri,TD1704,Megri,MEGRI,NA,NA,Wadi Fira,TD17,Tchad,TD,1459987200000,1497484800000,NA
68,Mayo-Dallah,TD1201,Mayo-Dallah,MAYO-DALLAH,NA,NA,Mayo-Kebbi Ouest,TD12,Tchad,TD,1459987200000,1497484800000,NA
69,Fouli,TD0704,Fouli,FOULI,NA,NA,Lac,TD07,Tchad,TD,1459987200000,1497484800000,NA
70,Kaya,TD0703,Kaya,KAYA,NA,NA,Lac,TD07,Tchad,TD,1459987200000,1497484800000,NA
