OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
354,TA Tambala,MW20804,NA,NA,NA,Dedza,MW208,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
355,TA Tengani,MW31105,NA,NA,NA,Nsanje,MW311,Southern,MW3,Malawi,MW,1535932800000,1539648000000,NA
356,TA Thomas,MW30711,NA,NA,NA,Thyolo,MW307,Southern,MW3,Malawi,MW,1535932800000,1539648000000,NA
357,TA Timbiri,MW10312,NA,NA,NA,Nkhata Bay,MW103,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
358,TA Wasambo,MW10204,NA,NA,NA,Karonga,MW102,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
359,TA Wimbe,MW20112,NA,NA,NA,Kasungu,MW201,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
360,TA Zolokere,MW10409,NA,S/C Zolokere,NA,Rumphi,MW104,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
361,TA Zulu,MW20703,NA,NA,NA,Mchinji,MW207,Central,MW2,Malawi,MW,1535932800000,1539648000000,NA
362,Thyolo Boma,MW30720,NA,NA,NA,Thyolo,MW307,Southern,MW3,Malawi,MW,1535932800000,1539648000000,NA
363,Viphya Ward,MW10744,NA,NA,NA,Mzuzu City,MW107,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
364,Vwaza Marsh Reserve - Mzimba,MW10511,NA,Vwaza G.Reserve,NA,Mzimba,MW105,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
365,Vwaza Marsh Reserve - Rumphi,MW10411,NA,Vwaza Game Reserve,NA,Rumphi,MW104,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
366,Zakazaka Ward,MW31439,NA,NA,NA,Zomba City,MW314,Southern,MW3,Malawi,MW,1535932800000,1539648000000,NA
367,Zolozolo Ward,MW10733,NA,NA,NA,Mzuzu City,MW107,Northern,MW1,Malawi,MW,1535932800000,1539648000000,NA
368,Zomba Central Ward,MW31440,NA,NA,NA,Zomba City,MW314,Southern,MW3,Malawi,MW,1535932800000,1539648000000,NA
