OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1358,Svay Chacheb,KH050110,NA,NA,NA,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1359,Svay Chek,KH010804,NA,NA,NA,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1360,Svay Chek,KH170204,NA,NA,NA,Angkor Thum,KH1702,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1361,Svay Chek,KH200309,NA,NA,NA,Rumduol,KH2003,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1362,Svay Chreah,KH100505,NA,NA,NA,Snuol,KH1005,Kratie,KH10,Cambodia,KH,1413244800000,1538611200000,NA
1363,Svay Chrum,KH040612,NA,NA,NA,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1364,Svay Chrum,KH080315,NA,NA,NA,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1365,Svay Chrum,KH140507,NA,NA,NA,Me Sang,KH1405,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1366,Svay Chrum,KH200514,NA,NA,NA,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1367,Svay Chuk,KH040707,NA,NA,NA,Sameakki Mean Chey,KH0407,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1368,Svay Dankum,KH171002,NA,NA,NA,Siem Reap,KH1710,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1369,Svay Doun Kaev,KH150108,NA,NA,NA,Bakan,KH1501,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1370,Svay Khleang,KH250210,NA,NA,NA,Krouch Chhmar,KH2502,Tboung Khmum,KH25,Cambodia,KH,1413244800000,1538611200000,NA
1371,Svay Khsach Phnum,KH031413,NA,NA,NA,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1372,Svay Kravan,KH050205,NA,NA,NA,Chbar Mon,KH0502,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1373,Svay Leu,KH171304,NA,NA,NA,Svay Leu,KH1713,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1374,Svay Luong,KH150207,NA,NA,NA,Kandieng,KH1502,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1375,Svay Pak,KH120703,NA,NA,NA,Russey Keo,KH1207,Phnom Penh,KH12,Cambodia,KH,1413244800000,1538611200000,NA
1376,Svay Phleung,KH060116,NA,NA,NA,Baray,KH0601,Kampong Thom,KH06,Cambodia,KH,1413244800000,1538611200000,NA
1377,Svay Phluoh,KH140610,NA,NA,NA,Peam Chor,KH1406,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1378,Svay Por,KH020310,NA,NA,NA,Battambang,KH0203,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1379,Svay Pou,KH031412,NA,NA,NA,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1380,Svay Prateal,KH081012,NA,NA,NA,S'ang,KH0810,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1381,Svay Rieng,KH200601,NA,NA,NA,Svay Rieng,KH2006,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1382,Svay Rolum,KH081013,NA,NA,NA,S'ang,KH0810,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1383,Svay Romiet,KH080316,NA,NA,NA,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1384,Svay Rumpear,KH040408,NA,NA,NA,Kampong Leaeng,KH0404,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1385,Svay Rumpear,KH050114,NA,NA,NA,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,1413244800000,1538611200000,NA
1386,Svay Rumpear,KH200711,NA,NA,NA,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1387,Svay Sa,KH150310,NA,NA,NA,Krakor,KH1503,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1388,Svay Sa,KH171404,NA,NA,NA,Varin,KH1714,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1389,Svay Ta Yean,KH200209,NA,NA,NA,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1390,Svay Teab,KH030206,NA,NA,NA,Chamkar Leu,KH0302,Kampong Cham,KH03,Cambodia,KH,1413244800000,1538611200000,NA
1391,Svay Thum,KH200515,NA,NA,NA,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1392,Svay Toea,KH200606,NA,NA,NA,Svay Rieng,KH2006,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1393,Svay Tong Khang Cheung,KH070615,NA,NA,NA,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1394,Svay Tong Khang Tboung,KH070616,NA,NA,NA,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,1413244800000,1538611200000,NA
1395,Svay Yea,KH200516,NA,NA,NA,Svay Chrum,KH2005,Svay Rieng,KH20,Cambodia,KH,1413244800000,1538611200000,NA
1396,Sya,KH150208,NA,NA,NA,Kandieng,KH1502,Pursat,KH15,Cambodia,KH,1413244800000,1538611200000,NA
1397,Ta Aek,KH080317,NA,NA,NA,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1398,Ta An,KH170610,NA,NA,NA,Kralanh,KH1706,Siemreap,KH17,Cambodia,KH,1413244800000,1538611200000,NA
1399,Ta Ang,KH160403,NA,NA,NA,Koun Mom,KH1604,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1400,Ta Baen,KH010805,NA,NA,NA,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1401,Ta Ches,KH040509,NA,NA,NA,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,1413244800000,1538611200000,NA
1402,Ta Kao,KH141105,NA,NA,NA,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,1413244800000,1538611200000,NA
1403,Ta Kdol,KH081101,NA,NA,NA,Ta Khmau,KH0811,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1404,Ta Khmao,KH081104,NA,NA,NA,Ta Khmau,KH0811,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
1405,Ta Kong,KH010906,NA,NA,NA,Malai,KH0109,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1406,Ta Kream,KH020108,NA,NA,NA,Banan,KH0201,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1407,Ta Krei,KH021206,NA,NA,NA,Kamrieng,KH0212,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1408,Ta Lam,KH010213,NA,NA,NA,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,1413244800000,1538611200000,NA
1409,Ta Lat,KH190107,NA,NA,NA,Sesan,KH1901,Stung Treng,KH19,Cambodia,KH,1413244800000,1538611200000,NA
1410,Ta Lav,KH160104,NA,NA,NA,Andoung Meas,KH1601,Ratanak Kiri,KH16,Cambodia,KH,1413244800000,1538611200000,NA
1411,Ta Loas,KH020606,NA,NA,NA,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,1413244800000,1538611200000,NA
1412,Ta Lon,KH081014,NA,NA,NA,S'ang,KH0810,Kandal,KH08,Cambodia,KH,1413244800000,1538611200000,NA
