OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
62,Savalou,BJ0505,NA,NA,NA,Collines,BJ05,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
63,Save,BJ0506,NA,NA,NA,Collines,BJ05,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
64,Segbana,BJ0106,NA,NA,NA,Alibori,BJ01,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
65,Seme-Kpodji,BJ1009,NA,NA,NA,Oueme,BJ10,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
66,Sinende,BJ0407,NA,NA,NA,Borgou,BJ04,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
67,So-Ava,BJ0305,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
68,Tanguieta,BJ0208,NA,NA,NA,Atacora,BJ02,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
69,Tchaourou,BJ0408,NA,NA,NA,Borgou,BJ04,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
70,Toffo,BJ0306,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
71,Tori-Bossito,BJ0307,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
72,Toucountouna,BJ0209,NA,NA,NA,Atacora,BJ02,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
73,Toviklin,BJ0606,NA,NA,NA,Couffo,BJ06,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
74,Za-Kpota,BJ1207,NA,NA,NA,Zou,BJ12,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
75,Zagnanado,BJ1208,NA,NA,NA,Zou,BJ12,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
76,Ze,BJ0308,NA,NA,NA,Atlantique,BJ03,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
77,Zogbodomey,BJ1209,NA,NA,NA,Zou,BJ12,Benin,Bénin (le),BJ,1438905600000,1565913600000,NA
