OBJECTID,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
76,Al-Qosh,القوش,IQG15Q09N02,NA,NA,NA,NA,NA,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
77,Al-Rahhaliya,الرحالية,IQG01Q03N02,NA,NA,NA,NA,NA,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
78,Al-Rashad,الرشاد,IQG13Q02N01,NA,NA,NA,NA,NA,Daquq,داقوق,IQG13Q02,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
79,Al-Rashdia,الراشدية,IQG08Q01N03,NA,NA,NA,NA,NA,Al-Adhamiya,الاعظمية,IQG08Q01,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
80,Al-Rasheed,الرشيد,IQG08Q05N02,NA,NA,NA,NA,NA,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
81,Al-Riyadh,الرياض,IQG13Q01N03,NA,NA,NA,NA,NA,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
82,Al-Rummaneh,الرمانة,IQG01Q02N03,NA,NA,NA,NA,NA,Al-Kaim,القائم,IQG01Q02,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
83,Al-Saadiya,السعدية,IQG10Q05N01,NA,NA,NA,NA,NA,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
84,Al-Sadeer,السدير,IQG05Q03N01,NA,NA,NA,NA,NA,Al-Hamza,الحمزة,IQG05Q03,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
85,Al-Salam,السلام,IQG14Q04N01,NA,NA,NA,NA,NA,Al-Maimouna,الميمونة,IQG14Q04,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
86,Al-Saniya,السنية,IQG05Q02N02,NA,NA,NA,NA,NA,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
87,Al-Shabaka,الشبكة,IQG04Q03N02,NA,NA,NA,NA,NA,Al-Najaf,النجف,IQG04Q03,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,1559174400000,1559520000000,NA
88,Al-Shafeia,الشافعية,IQG05Q02N03,NA,NA,NA,NA,NA,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
89,Al-Shamal,الشمال,IQG15Q07N02,NA,NA,NA,NA,NA,Sinjar,سنجار,IQG15Q07,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
90,Al-Shehamiya,الشحيمية,IQG18Q04N02,NA,NA,NA,NA,NA,Al-Suwaira,الصويرة,IQG18Q04,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
91,Al-Shinafiya,الشنافية,IQG05Q03N02,NA,NA,NA,NA,NA,Al-Hamza,الحمزة,IQG05Q03,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
92,Al-Shomaly,الشوملي,IQG07Q01N02,NA,NA,NA,NA,NA,Al-Hashimiya,الهاشمية,IQG07Q01,Babil,بابل,IQG07,Iraq,العراق,IQ,1559174400000,1559520000000,NA
93,Al-Siba,السيبة,IQG02Q01N01,NA,NA,NA,NA,NA,Abu Al-Khaseeb,ابي الخصيب,IQG02Q01,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
94,Al-Sowair,السوير,IQG03Q04N01,NA,NA,NA,NA,NA,Al-Samawa,السماوة,IQG03Q04,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,1559174400000,1559520000000,NA
95,Al-Synia,الصينية,IQG16Q03N02,NA,NA,NA,NA,NA,Beygee,بيجي,IQG16Q03,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
96,Al-Taji,التاجي,IQG08Q02N05,NA,NA,NA,NA,NA,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
97,Al-Tar,الطار,IQG17Q05N02,NA,NA,NA,NA,NA,Suq Al-Shoyokh,سوق الشيوخ,IQG17Q05,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
98,Al-Tarmiya,الطارمية,IQG08Q02N04,NA,NA,NA,NA,NA,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
99,Al-Teeb,الطيب,IQG14Q01N02,NA,NA,NA,NA,NA,Al-Amara,العمارة,IQG14Q01,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
100,Al-Thagar,الثغر,IQG02Q05N02,NA,NA,NA,NA,NA,Al-Qurna,القرنة,IQG02Q05,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
101,Al-Tharthar,الثرثار,IQG16Q05N02,NA,NA,NA,NA,NA,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
102,Al-Wajihia,الوجيهية,IQG10Q02N01,NA,NA,NA,NA,NA,Al-Muqdadiya,المقدادية,IQG10Q02,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
103,Al-Walid,الوليد,IQG01Q04N02,NA,NA,NA,NA,NA,Al-Rutba,الرطبة,IQG01Q04,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
104,Al-Warka,الوركاء,IQG03Q02N04,NA,NA,NA,NA,NA,Al-Rumaitha,الرميثة,IQG03Q02,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,1559174400000,1559520000000,NA
105,Al-Wihda,الوحدة,IQG08Q04N03,NA,NA,NA,NA,NA,Al-Mada'in,المدائن,IQG08Q04,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
106,Al-Yousifya,اليوسفية,IQG08Q05N04,NA,NA,NA,NA,NA,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
107,Al-Zab,الزاب,IQG13Q01N02,NA,NA,NA,NA,NA,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
108,Al-Zubaidiya,الزبيدية,IQG18Q04N01,NA,NA,NA,NA,NA,Al-Suwaira,الصويرة,IQG18Q04,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
109,Ali Al-Sharki,علي الشرقي,IQG14Q02N02,NA,NA,NA,NA,NA,Ali Al-Gharbi,علي الغربي,IQG14Q02,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
110,Altun Qupri,التون كوبري,IQG13Q03N03,NA,NA,NA,NA,NA,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
