OBJECTID,admin3Name_en,admin3Name_ar,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ar,admin3AltName2_ar,admin2Name_en,admin2Name_ar,admin2Pcode,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
171,Markaz Al-Basrah,مركز البصرة,IQG02Q02N02,NA,NA,NA,NA,NA,Al-Basrah,البصرة,IQG02Q02,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
172,Markaz Al-Chibayish,مركز الجبايش,IQG17Q01N03,NA,NA,NA,NA,NA,Al-Chibayish,الجبايش,IQG17Q01,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
173,Markaz Al-Diwaniya,مركز الديوانية,IQG05Q02N04,NA,NA,NA,NA,NA,Al-Diwaniya,الديوانية,IQG05Q02,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
174,Markaz Al-Falluja,مركز الفلوجة,IQG01Q01N03,NA,NA,NA,NA,NA,Al-Falluja,الفلوجة,IQG01Q01,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
175,Markaz Al-Faw,مركز الفاو,IQG02Q03N02,NA,NA,NA,NA,NA,Al-Faw,الفاو,IQG02Q03,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
176,Markaz Al-Hamdaniya,مركز الحمدانية,IQG15Q03N03,NA,NA,NA,NA,NA,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
177,Markaz Al-Hamza,مركز الحمزة,IQG05Q03N03,NA,NA,NA,NA,NA,Al-Hamza,الحمزة,IQG05Q03,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
178,Markaz Al-Hawiga,مركز الحويجة,IQG13Q01N01,NA,NA,NA,NA,NA,Al-Hawiga,الحويجة,IQG13Q01,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
179,Markaz Al-Hilla,مركز الحلة,IQG07Q02N03,NA,NA,NA,NA,NA,Al-Hilla,الحلة,IQG07Q02,Babil,بابل,IQG07,Iraq,العراق,IQ,1559174400000,1559520000000,NA
180,Markaz Al-Hindiya,مركز الهندية,IQG12Q02N02,NA,NA,NA,NA,NA,Al-Hindiya,الهندية,IQG12Q02,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,1559174400000,1559520000000,NA
181,Markaz Al-Kadhimiya,مركز الكاظمية,IQG08Q02N01,NA,NA,NA,NA,NA,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
182,Markaz Al-Kahla,مركز الكحلاء,IQG14Q03N03,NA,NA,NA,NA,NA,Al-Kahla,الكحلاء,IQG14Q03,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
183,Markaz Al-Karkh,مركز الكرخ,IQG08Q03N02,NA,NA,NA,NA,NA,Al-Karkh,الكرخ,IQG08Q03,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
184,Markaz Al-Khalis,مركز الخالص,IQG10Q01N04,NA,NA,NA,NA,NA,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
185,Markaz Al-Khidhir,مركز الخضر,IQG03Q01N01,NA,NA,NA,NA,NA,Al-Khidhir,الخضر,IQG03Q01,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,1559174400000,1559520000000,NA
186,Markaz Al-Kufa,مركز الكوفة,IQG04Q01N02,NA,NA,NA,NA,NA,Al-Kufa,الكوفة,IQG04Q01,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,1559174400000,1559520000000,NA
187,Markaz Al-Kut,مركز الكوت,IQG18Q02N03,NA,NA,NA,NA,NA,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
188,Markaz Al-Mada'in,مركز المدائن,IQG08Q04N01,Markaz Al-Madain,NA,NA,NA,NA,Al-Mada'in,المدائن,IQG08Q04,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
189,Markaz Al-Mahawil,مركز المحاويل,IQG07Q03N01,NA,NA,NA,NA,NA,Al-Mahaweel,المحاويل,IQG07Q03,Babil,بابل,IQG07,Iraq,العراق,IQ,1559174400000,1559520000000,NA
190,Markaz Al-Mahmoudiya,مركز المحمودية,IQG08Q05N01,NA,NA,NA,NA,NA,Al-Mahmoudiya,المحمودية,IQG08Q05,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
191,Markaz Al-Maimouna,مركز الميمونة,IQG14Q04N02,NA,NA,NA,NA,NA,Al-Maimouna,الميمونة,IQG14Q04,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
192,Markaz Al-Midaina,مركز المدينة,IQG02Q04N02,NA,NA,NA,NA,NA,Al-Midaina,المدينة,IQG02Q04,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
193,Markaz Al-Muqdadiya,مركز المقدادية,IQG10Q02N02,NA,NA,NA,NA,NA,Al-Muqdadiya,المقدادية,IQG10Q02,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
194,Markaz Al-Najaf,مركز النجف,IQG04Q03N03,NA,NA,NA,NA,NA,Al-Najaf,النجف,IQG04Q03,Al-Najaf,النجف,IQG04,Iraq,العراق,IQ,1559174400000,1559520000000,NA
195,Markaz Al-Nasiriya,مركزالناصرية,IQG17Q04N02,NA,NA,NA,NA,NA,Al-Nasiriya,الناصرية,IQG17Q04,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
196,Markaz Al-Noamaniya,مركز النعمانية,IQG18Q03N02,NA,NA,NA,NA,NA,Al-Namaniya,النعمانية,IQG18Q03,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
197,Markaz Al-Qurna,مركز القرنة,IQG02Q05N03,NA,NA,NA,NA,NA,Al-Qurna,القرنة,IQG02Q05,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
198,Markaz Al-Ramadi,مركز الرمادي,IQG01Q03N03,NA,NA,NA,NA,NA,Al-Ramadi,الرمادي,IQG01Q03,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
199,Markaz Al-Rifai,مركز الرفاعي,IQG17Q02N03,NA,NA,NA,NA,NA,Al-Rifai,الرفاعي,IQG17Q02,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
200,Markaz Al-Rumaitha,مركز الرميثة,IQG03Q02N05,NA,NA,NA,NA,NA,Al-Rumaitha,الرميثة,IQG03Q02,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,1559174400000,1559520000000,NA
201,Markaz Al-Rutba,مركز الرطبة,IQG01Q04N03,NA,NA,NA,NA,NA,Al-Rutba,الرطبة,IQG01Q04,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
202,Markaz Al-Salman,مركز السلمان,IQG03Q03N01,NA,NA,NA,NA,NA,Al-Salman,السلمان,IQG03Q03,Al-Muthanna,المثنى,IQG03,Iraq,العراق,IQ,1559174400000,1559520000000,NA
203,Markaz Al-Shatra,مركز الشطرة,IQG17Q03N01,NA,NA,NA,NA,NA,Al-Shatra,الشطرة,IQG17Q03,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
204,Markaz Al-Shikhan,مركز الشيخان,IQG15Q06N01,NA,NA,NA,NA,NA,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
205,Markaz Al-Shirqat,مركز الشرقاط,IQG16Q02N01,NA,NA,NA,NA,NA,Al-Shirqat,الشرقاط,IQG16Q02,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
206,Markaz Al-Suwaira,مركز الصويرة,IQG18Q04N03,NA,NA,NA,NA,NA,Al-Suwaira,الصويرة,IQG18Q04,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
207,Markaz Al-Thawra,مركز الثورة,IQG08Q07N01,NA,NA,NA,NA,NA,Al-Thawra,الثورة,IQG08Q07,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
208,Markaz Al-Zubair,مركز الزبير,IQG02Q06N01,NA,NA,NA,NA,NA,Al-Zubair,الزبير,IQG02Q06,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
209,Markaz Ali Al-Gharbi,مركز علي الغربي,IQG14Q02N01,NA,NA,NA,NA,NA,Ali Al-Gharbi,علي الغربي,IQG14Q02,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
210,Markaz Ana,مركز عنه,IQG01Q05N01,NA,NA,NA,NA,NA,Ana,عنه,IQG01Q05,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
211,Markaz Aqra,مركز عقرة,IQG15Q01N05,NA,NA,NA,NA,NA,Aqra,عقرة,IQG15Q01,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
212,Markaz Badra,مركز بدرة,IQG18Q05N01,NA,NA,NA,NA,NA,Badra,بدرة,IQG18Q05,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
213,Markaz Baladruz,مركز بلدروز,IQG10Q03N02,NA,NA,NA,NA,NA,Baladruz,مندلي,IQG10Q03,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
214,Markaz Beygee,مركز بيجي,IQG16Q03N01,NA,NA,NA,NA,NA,Beygee,بيجي,IQG16Q03,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
215,Markaz Chamchamal,مركز جمجمال,IQG06Q02N02,NA,NA,NA,NA,NA,Chamchamal,جمجمال,IQG06Q02,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
216,Markaz Daquq,مركز داقوق,IQG13Q02N02,NA,NA,NA,NA,NA,Daquq,داقوق,IQG13Q02,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
217,Markaz Derbendikhan,مركز دربندخان,IQG06Q03N01,NA,NA,NA,NA,NA,Derbendikhan,دربندخان,IQG06Q03,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
218,Markaz Dibis,مركز الدبس,IQG13Q03N02,NA,NA,NA,NA,NA,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
219,Markaz Duhok,مركز دهوك,IQG09Q02N02,NA,NA,NA,NA,NA,Duhok,دهوك,IQG09Q02,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
220,Markaz Erbil,مركز اربيل,IQG11Q02N02,NA,NA,NA,NA,NA,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
221,Markaz Halabja,مركز حلبجة,IQG06Q05N03,NA,NA,NA,NA,NA,Halabcha,حلبجة,IQG06Q05,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
222,Markaz Hatra,مركز الحضر,IQG15Q04N01,NA,NA,NA,NA,NA,Al-Hatra,الحضر,IQG15Q04,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
223,Markaz Heet,مركز هيت,IQG01Q07N04,NA,NA,NA,NA,NA,Heet,هيت,IQG01Q07,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
224,Markaz Kalar,مركز كلار,IQG06Q06N01,NA,NA,NA,NA,NA,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
225,Markaz Kerbela,مركز كربلاء,IQG12Q03N01,NA,NA,NA,NA,NA,Kerbela,كربلاء,IQG12Q03,Kerbala,كربلاء,IQG12,Iraq,العراق,IQ,1559174400000,1559520000000,NA
226,Markaz Khanaqin,مركز خانقين,IQG10Q05N02,NA,NA,NA,NA,NA,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
227,Markaz Kifri,مركز كفري,IQG10Q06N02,NA,NA,NA,NA,NA,Kifri,كفري,IQG10Q06,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
228,Markaz Kirkuk,مركز كركوك,IQG13Q04N06,NA,NA,NA,NA,NA,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
229,Markaz Koysinjaq,مركز كويسنجق,IQG11Q03N03,NA,NA,NA,NA,NA,Koysinjaq,كويسنجق,IQG11Q03,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
230,Markaz Makhmour,مركز مخمور,IQG11Q04N02,NA,NA,NA,NA,NA,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
231,Markaz Panjwin,مركز بنجوين,IQG06Q07N02,NA,NA,NA,NA,NA,Panjwin,بنجوين,IQG06Q07,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
232,Markaz Pshdar,مركز بشدر,IQG06Q08N03,NA,NA,NA,NA,NA,Pshdar,بشدر,IQG06Q08,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
233,Markaz Qalat Saleh,مركز قلعة صالح,IQG14Q06N01,NA,NA,NA,NA,NA,Qalat Saleh,قلعة صالح,IQG14Q06,Maysan,ميسان,IQG14,Iraq,العراق,IQ,1559174400000,1559520000000,NA
234,Markaz Rania,مركز رانية,IQG06Q09N02,NA,NA,NA,NA,NA,Rania,رانية,IQG06Q09,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
235,Markaz Rawanduz,مركز راوندوز,IQG11Q05N01,NA,NA,NA,NA,NA,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
236,Markaz Samarra,مركز سامراء,IQG16Q05N03,NA,NA,NA,NA,NA,Samarra,سامراء,IQG16Q05,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
237,Markaz Sharbazher,مركز شهربازار,IQG06Q10N02,NA,NA,NA,NA,NA,Sharbazher,شهربازار,IQG06Q10,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
238,Markaz Shat Al-Arab,مركز شط العرب,IQG02Q07N02,NA,NA,NA,NA,NA,Shat Al-Arab,شط العرب,IQG02Q07,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
239,Markaz Sinjar,مركز سنجار,IQG15Q07N03,NA,NA,NA,NA,NA,Sinjar,سنجار,IQG15Q07,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
240,Markaz Sumail,مركز سميل,IQG09Q03N03,NA,NA,NA,NA,NA,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
241,Markaz Telafar,مركز تلعفر,IQG15Q08N01,NA,NA,NA,NA,NA,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
242,Markaz Tilkaef,مركز تلكيف,IQG15Q09N01,NA,NA,NA,NA,NA,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
243,Markaz Tooz Khurmato,مركز طوز خورماتو,IQG16Q07N02,NA,NA,NA,NA,NA,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
244,Markaz Zakho,مركز زاخو,IQG09Q04N01,NA,NA,NA,NA,NA,Zakho,زاخو,IQG09Q04,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
245,Mawat,ماوت,IQG06Q10N04,NA,NA,NA,NA,NA,Sharbazher,شهربازار,IQG06Q10,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
246,Mazouri Bala,مزوري بالا,IQG11Q01N02,NA,NA,NA,NA,NA,Al-Zibar,الزيبار,IQG11Q01,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
247,Mergasur,ميركة سور,IQG11Q05N05,NA,NA,NA,NA,NA,Rawanduz,راوندوز,IQG11Q05,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
248,Midan,ميدان,IQG10Q05N03,NA,NA,NA,NA,NA,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
249,Mirka,ميركه,IQG06Q09N01,NA,NA,NA,NA,NA,Rania,رانية,IQG06Q09,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
250,Namroud,نمرود,IQG15Q03N01,NA,NA,NA,NA,NA,Al-Hamdaniya,الحمدانية,IQG15Q03,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
251,Nawdasht,ناودشت,IQG06Q08N02,NA,NA,NA,NA,NA,Pshdar,بشدر,IQG06Q08,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
252,Nerwa Rekan,نروة ريكان,IQG09Q01N03,NA,NA,NA,NA,NA,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
253,Outba,عتبة,IQG02Q07N03,NA,NA,NA,NA,NA,Shat Al-Arab,شط العرب,IQG02Q07,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
254,Qalaa't Ansab,قلعة انصاب,IQG10Q01N05,Qalaat Ansab,NA,NA,NA,NA,Al-Khalis,الخالص,IQG10Q01,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
255,Qalat Siker,قلعة السكر,IQG17Q02N04,NA,NA,NA,NA,NA,Al-Rifai,الرفاعي,IQG17Q02,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
256,Qara Tabe,قرة تبة,IQG10Q06N03,NA,NA,NA,NA,NA,Kifri,كفري,IQG10Q06,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
257,Qaradagh,قره داغ,IQG06Q01N02,NA,NA,NA,NA,NA,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
258,Qaraj,القرج,IQG11Q04N01,NA,NA,NA,NA,NA,Makhmour,مخمور,IQG11Q04,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
259,Qaratu,قرة تو,IQG10Q05N05,NA,NA,NA,NA,NA,Khanaqin,خانقين,IQG10Q05,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
260,Qasruk,قسروك,IQG15Q06N02,NA,NA,NA,NA,NA,Al-Shikhan,الشيخان,IQG15Q06,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
261,Qazanya,قزانية,IQG10Q03N03,NA,NA,NA,NA,NA,Baladruz,مندلي,IQG10Q03,Diyala,ديالى,IQG10,Iraq,العراق,IQ,1559174400000,1559520000000,NA
262,Qura Hanjeer,قرة هنجير,IQG13Q04N07,NA,NA,NA,NA,NA,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
263,Qushtappa,قوش تبه,IQG11Q02N01,NA,NA,NA,NA,NA,Erbil,اربيل,IQG11Q02,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
264,Rabia,ربيعة,IQG15Q08N04,NA,NA,NA,NA,NA,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
265,Rawa,راوه,IQG01Q05N02,NA,NA,NA,NA,NA,Ana,عنه,IQG01Q05,Al-Anbar,الانبار,IQG01,Iraq,العراق,IQ,1559174400000,1559520000000,NA
266,Safwan,سفوان,IQG02Q06N02,NA,NA,NA,NA,NA,Al-Zubair,الزبير,IQG02Q06,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
267,Said Dekhil,سيد خليل,IQG17Q04N03,NA,NA,NA,NA,NA,Al-Nasiriya,الناصرية,IQG17Q04,Thi Qar,ذي قار,IQG17,Iraq,العراق,IQ,1559174400000,1559520000000,NA
268,Salah Al-Din,صلاح الدين,IQG11Q06N02,NA,NA,NA,NA,NA,Shaqlawa,شقلاوة,IQG11Q06,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
269,Sarchnar,سرجنار,IQG06Q01N03,NA,NA,NA,NA,NA,Al-Sulaymaniyah,السليمانية,IQG06Q01,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
270,Sarkran,سركران,IQG13Q03N01,NA,NA,NA,NA,NA,Dibis,دبس,IQG13Q03,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
271,Sarsank,سرسنك,IQG09Q01N04,NA,NA,NA,NA,NA,Al-Amadiya,العمادية,IQG09Q01,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
272,Saruchik,سروجك,IQG06Q10N01,NA,NA,NA,NA,NA,Sharbazher,شهربازار,IQG06Q10,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
273,Shaekh Saad,شيخ سعد,IQG18Q02N02,NA,NA,NA,NA,NA,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
274,Shahrazur,شهرزور,IQG06Q05N04,NA,NA,NA,NA,NA,Halabcha,حلبجة,IQG06Q05,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
275,Shorsh,سورش,IQG11Q03N02,NA,NA,NA,NA,NA,Koysinjaq,كويسنجق,IQG11Q03,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
276,Shwan,شوان,IQG13Q04N05,NA,NA,NA,NA,NA,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
277,Sindi,سندي,IQG09Q03N04,NA,NA,NA,NA,NA,Sumail,سميل,IQG09Q03,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
278,Siwail,سويل,IQG06Q10N03,NA,NA,NA,NA,NA,Sharbazher,شهربازار,IQG06Q10,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
279,Sourdash,سورداش,IQG06Q04N02,NA,NA,NA,NA,NA,Dokan,دوكان,IQG06Q04,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
280,Sulaiman Baig,سليمان بيك,IQG16Q07N03,NA,NA,NA,NA,NA,Tooz Khurmato,طوز خورماتو,IQG16Q07,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
281,Sumer,سومر,IQG05Q01N04,NA,NA,NA,NA,NA,Afaq,عفك,IQG05Q01,Al-Qadissiya,القادسية,IQG05,Iraq,العراق,IQ,1559174400000,1559520000000,NA
282,Talha,طلحة,IQG02Q04N03,NA,NA,NA,NA,NA,Al-Midaina,المدينة,IQG02Q04,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
283,Taq Taq,طق طق,IQG11Q03N01,NA,NA,NA,NA,NA,Koysinjaq,كويسنجق,IQG11Q03,Erbil,اربيل,IQG11,Iraq,العراق,IQ,1559174400000,1559520000000,NA
284,Taza Khormato,تازة خورماتو,IQG13Q04N01,NA,NA,NA,NA,NA,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
285,That al Salasil,ذات السلاسل,IQG08Q02N03,NA,NA,NA,NA,NA,Al-Kadhmiyah,الكاظمية,IQG08Q02,Baghdad,بغداد,IQG08,Iraq,العراق,IQ,1559174400000,1559520000000,NA
286,Tilako,تيلاكو,IQG06Q06N03,NA,NA,NA,NA,NA,Kalar,كلار,IQG06Q06,Al-Sulaymaniyah,السليمانية,IQG06,Iraq,العراق,IQ,1559174400000,1559520000000,NA
287,Um Al-Qura,ام القرى,IQG16Q06N01,NA,NA,NA,NA,NA,Tikrit,تكريت,IQG16Q06,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
288,Um Qasr,ام قصر,IQG02Q06N03,NA,NA,NA,NA,NA,Al-Zubair,الزبير,IQG02Q06,Al-Basrah,البصرة,IQG02,Iraq,العراق,IQ,1559174400000,1559520000000,NA
289,Wana,وانة,IQG15Q09N03,NA,NA,NA,NA,NA,Tilkaef,تلكيف,IQG15Q09,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
290,Wasit,واسط,IQG18Q02N01,NA,NA,NA,NA,NA,Al-Kut,الكوت,IQG18Q02,Wassit,واسط,IQG18,Iraq,العراق,IQ,1559174400000,1559520000000,NA
291,Yaijy,يايجي,IQG13Q04N04,NA,NA,NA,NA,NA,Kirkuk,كركوك,IQG13Q04,Kirkuk,كركوك,IQG13,Iraq,العراق,IQ,1559174400000,1559520000000,NA
292,Yathreb,يثرب,IQG16Q04N01,NA,NA,NA,NA,NA,Balad,بلد,IQG16Q04,Salah Al-Din,صلاح الدين,IQG16,Iraq,العراق,IQ,1559174400000,1559520000000,NA
293,Zawita,زاويتة,IQG09Q02N03,NA,NA,NA,NA,NA,Duhok,دهوك,IQG09Q02,Duhok,دهوك,IQG09,Iraq,العراق,IQ,1559174400000,1559520000000,NA
294,Zummar,زمار,IQG15Q08N03,NA,NA,NA,NA,NA,Telafar,تلعفر,IQG15Q08,Ninewa,نينوى,IQG15,Iraq,العراق,IQ,1559174400000,1559520000000,NA
