OBJECTID,admin3Name_en,admin3Name_fr,admin3Name_ht,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin3AltName1_ht,admin3AltName2_ht,admin2Name_en,admin2Name_fr,admin2Name_ht,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Name_ht,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Name_ht,admin0Pcode,date,validOn,validTo
277,2e Section Sources Chaudes,2e Section Sources Chaudes, ,HT0523-02,NA,NA,NA,NA,NA,NA,NA,Anse Rouge,Anse Rouge, ,HT0523,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
278,2e Section Sources Chaudes,2e Section Sources Chaudes, ,HT0814-02,NA,NA,NA,NA,NA,NA,NA,Moron,Moron, ,HT0814,Grande'Anse,Grande'Anse,Grandans,HT08,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
279,2e Section Tete-a-Boeuf,2e Section Tête-à-Boeuf, ,HT0123-02,NA,NA,NA,NA,NA,NA,NA,Grand-Goave,Grand-Goâve, ,HT0123,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
280,2e Section Tete d'Eau,2e Section Tête d'Eau, ,HT1031-02,2e Section Tete dEau,NA,NA,NA,NA,NA,NA,Baraderes,Baradères, ,HT1031,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
281,2e Section Tiby,2e Section Tiby, ,HT1022-02,NA,NA,NA,NA,NA,NA,NA,Petit Trou de Nippes,Petit Trou de Nippes, ,HT1022,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
282,2e Section Tierra Muscady,2e Section Tierra Muscady, ,HT0613-02,NA,NA,NA,NA,NA,NA,NA,Thomonde,Thomonde, ,HT0613,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
283,2e Section Trou Mahot,2e Section Trou Mahot, ,HT0221-02,NA,NA,NA,NA,NA,NA,NA,Bainet,Bainet, ,HT0221,South-East,Sud-Est,Sidès,HT02,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
284,2e Source Beauvoir,2e Source Beauvoir, ,HT0914-02,NA,NA,NA,NA,NA,NA,NA,Chamsolme,Chamsolme, ,HT0914,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
285,3e Section Aguahedionde (Rive Droite),3e Section Aguahedionde (Rive Droite), ,HT0611-03,NA,NA,NA,NA,NA,NA,NA,Hinche,Hinche, ,HT0611,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
286,3e Section Arnaud (Morcou),3e Section Arnaud (Morcou), ,HT1024-03,NA,NA,NA,NA,NA,NA,NA,Arnaud,Arnaud, ,HT1024,Nippes,Nippes,Nip,HT10,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
287,3e Section Aubert,3e Section Aubert, ,HT0911-03,NA,NA,NA,NA,NA,NA,NA,Port-de-Paix,Port-de-Paix, ,HT0911,North-West,Nord-Ouest,Nòdwès,HT09,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
288,3e Section Baille Tourrible,3e Section Baille Tourrible, ,HT0613-03,NA,NA,NA,NA,NA,NA,NA,Thomonde,Thomonde, ,HT0613,Centre,Centre,Sant,HT06,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
289,3e Section Bas de Sault,3e Section Bas de Sault, ,HT0551-03,NA,NA,NA,NA,NA,NA,NA,Saint-Michel de l'Attalaye,Saint-Michel de l'Attalaye, ,HT0551,Artibonite,Artibonite,Latibonit,HT05,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
290,3e Section Beauclos,3e Section Beauclos, ,HT0743-03,NA,NA,NA,NA,NA,NA,NA,Roche a Bateau,Roche à Bâteau, ,HT0743,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
291,3e Section Bellevue,3e Section Bellevue, ,HT0118-03,NA,NA,NA,NA,NA,NA,NA,Tabarre,Tabarre, ,HT0118,West,Ouest,Lwès,HT01,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
292,3e Section Bony,3e Section Bony, ,HT0751-03,NA,NA,NA,NA,NA,NA,NA,Chardonnieres,Chardonnières, ,HT0751,South,Sud,Sid,HT07,Haiti,Haïti,Ayiti,HT,1504656000000,1543449600000,NA
