OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
85,Gwembe,ZM8002,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
86,Kalomo,ZM8004,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
87,Kazungula,ZM8005,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
88,Livingstone,ZM8006,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
89,Mazabuka,ZM8007,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
90,Monze,ZM8008,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
91,Namwala,ZM8009,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
92,Pemba,ZM8012,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
93,Siavonga,ZM8010,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
94,Sinazongwe,ZM8011,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
95,Zimba,ZM8013,NA,NA,NA,Southern,ZM80,Zambia,ZM,1578009600000,1606176000000,NA
96,Kalabo,ZM9001,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
97,Kaoma,ZM9002,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
98,Limulunga,ZM9006,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
99,Luampa,ZM9008,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
100,Lukulu,ZM9003,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
101,Mitete,ZM9009,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
102,Mongu,ZM9004,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
103,Mulobezi,ZM9010,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
104,Mwandi,ZM9011,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
105,Nalolo,ZM9013,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
106,Nkeyema,ZM9014,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
107,Senanga,ZM9005,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
108,Sesheke,ZM9012,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
109,Shang'ombo,ZM9007,Shangombo,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
110,Sikongo,ZM9015,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
111,Sioma,ZM9016,NA,NA,NA,Western,ZM90,Zambia,ZM,1578009600000,1606176000000,NA
112,Kapiri Mposhi,ZM1003,NA,NA,NA,Central,ZM10,Zambia,ZM,1578009600000,1606176000000,NA
113,Nchelenge,ZM4006,NA,NA,NA,Luapula,ZM40,Zambia,ZM,1578009600000,1606176000000,NA
114,Shiwamg'andu,ZM1119,Shiwamgandu,NA,NA,Muchinga,ZM11,Zambia,ZM,1578009600000,1606176000000,NA
115,Mporokoso,ZM6009,NA,NA,NA,Northern,ZM60,Zambia,ZM,1578009600000,1606176000000,NA
