OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
71,Abbanuange,ID7313030013,NA,NA,NA,Pammana,ID7313030,Wajo,ID7313,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
72,Abbanuange,ID7313100012,NA,NA,NA,Maniang Pajo,ID7313100,Wajo,ID7313,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
73,Abbatireng,ID7313101004,NA,NA,NA,Gilireng,ID7313101,Wajo,ID7313,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
74,Abbokongang,ID7314051004,NA,NA,NA,Kulo,ID7314051,Sidenreng Rappang,ID7314,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
75,Abbumpungeng,ID7311030003,NA,NA,NA,Kajuara,ID7311030,Bone,ID7311,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
76,Abbumpungeng,ID7311100001,NA,NA,NA,Cina,ID7311100,Bone,ID7311,Sulawesi Selatan,ID73,Indonesia,ID,1576800000000,1585699200000,NA
77,Abe Pantai,ID9471020011,NA,NA,NA,Abepura,ID9471020,Kota Jayapura,ID9471,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
78,Abean,ID8102013010,NA,NA,NA,Kei Kecil Timur,ID8102013,Maluku Tenggara,ID8102,Maluku,ID81,Indonesia,ID,1576800000000,1585699200000,NA
79,Abeko,ID7405091004,NA,NA,NA,Ranomeeto Barat,ID7405091,Konawe Selatan,ID7405,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
80,Abeli,ID7471021005,NA,NA,NA,Abeli,ID7471021,Kota Kendari,ID7471,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
81,Abeli Dalam,ID7471012018,NA,NA,NA,Puuwatu,ID7471012,Kota Kendari,ID7471,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
82,Abelisawah,ID7403104005,NA,NA,NA,Anggalomoare,ID7403104,Konawe,ID7403,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
83,Abena,ID9418032006,NA,NA,NA,Bewani,ID9418032,Tolikara,ID9418,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
84,Abenaho,ID9432030003,NA,NA,NA,Abenaho,ID9432030,Yalimo,ID9432,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
85,Abenggi,ID7405100014,NA,NA,NA,Landono,ID7405100,Konawe Selatan,ID7405,Sulawesi Tenggara,ID74,Indonesia,ID,1576800000000,1585699200000,NA
86,Abepur,ID9418025007,NA,NA,NA,Kuari,ID9418025,Tolikara,ID9418,Papua,ID94,Indonesia,ID,1576800000000,1585699200000,NA
