OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
865,Jungapeo,MX16047,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
866,Kanasín,MX31041,Kanasin,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
867,Kantunil,MX31042,NA,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
868,Kaua,MX31043,NA,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
869,Kinchil,MX31044,NA,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
870,Kopomá,MX31045,Kopoma,NA,NA,Yucatán,MX31,México,MX,1517529600000,1592438400000,NA
871,La Antigua,MX30016,NA,NA,NA,Veracruz de Ignacio de la Llave,MX30,México,MX,1517529600000,1592438400000,NA
872,La Barca,MX14018,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
873,La Colorada,MX26021,NA,NA,NA,Sonora,MX26,México,MX,1517529600000,1592438400000,NA
874,La Compañía,MX20017,La Compania,NA,NA,Oaxaca,MX20,México,MX,1517529600000,1592438400000,NA
875,La Concordia,MX07020,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
876,La Cruz,MX08016,NA,NA,NA,Chihuahua,MX08,México,MX,1517529600000,1592438400000,NA
877,La Grandeza,MX07036,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
878,La Huacana,MX16035,NA,NA,NA,Michoacán de Ocampo,MX16,México,MX,1517529600000,1592438400000,NA
879,La Huerta,MX14043,NA,NA,NA,Jalisco,MX14,México,MX,1517529600000,1592438400000,NA
880,La Independencia,MX07041,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
881,La Libertad,MX07050,NA,NA,NA,Chiapas,MX07,México,MX,1517529600000,1592438400000,NA
