OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
54,Asuncion,EC140651,NA,NA,NA,Sucua,EC1406,Morona Santiago,EC14,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
55,Asuncion (Asancoto),EC020351,NA,NA,NA,Chimbo,EC0203,Bolivar,EC02,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
56,Atacames,EC080650,NA,NA,NA,Atacames,EC0806,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
57,Atahualpa,EC131753,NA,NA,NA,Pedernales,EC1317,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
58,Atahualpa,EC240151,NA,NA,NA,Santa Elena,EC2401,Santa Elena,EC24,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
59,Atahualpa (Cab. en Camarones),EC080252,NA,NA,NA,Eloy Alfaro,EC0802,Esmeraldas,EC08,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
60,Atahualpa (Chisalata),EC180152,NA,NA,NA,Ambato,EC1801,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
61,Atahualpa (Habaspamba),EC170153,NA,NA,NA,Quito,EC1701,Pichincha,EC17,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
62,Atuntaqui,EC100250,NA,NA,NA,Antonio Ante,EC1002,Imbabura,EC10,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
63,Augusto N. Martinez (Mundugleo),EC180153,NA,NA,NA,Ambato,EC1801,Tungurahua,EC18,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
64,Avila (Cab. en Huiruno),EC220451,NA,NA,NA,Loreto,EC2204,Orellana,EC22,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
65,Ayacucho,EC131351,NA,NA,NA,Santa Ana,EC1313,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
66,Ayapamba,EC070351,NA,NA,NA,Atahualpa,EC0703,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
67,Azogues,EC030150,NA,NA,NA,Azogues,EC0301,Cañar,EC03,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
68,Baba,EC120250,NA,NA,NA,Baba,EC1202,Los Rios,EC12,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
69,Babahoyo,EC120150,NA,NA,NA,Babahoyo,EC1201,Los Rios,EC12,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
70,Bachillero,EC131551,NA,NA,NA,Tosagua,EC1315,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
71,Baeza,EC150750,NA,NA,NA,Quijos,EC1507,Napo,EC15,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
72,Bahia de Caraquez,EC131450,NA,NA,NA,Sucre,EC1314,Manabi,EC13,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
73,Balao,EC090350,NA,NA,NA,Balao,EC0903,Guayas,EC09,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
74,Balsapamba,EC020551,NA,NA,NA,San Miguel,EC0205,Bolivar,EC02,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
75,Balsas,EC070450,NA,NA,NA,Balsas,EC0704,El Oro,EC07,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
76,Balzar,EC090450,NA,NA,NA,Balzar,EC0904,Guayas,EC09,Ecuador,Ecuador (el),EC,1545004800000,1563926400000,NA
