OBJECTID,admin3Name_pt,admin3Pcode,admin3RefName,admin3AltName1_pt,admin3AltName2_pt,admin2Name_pt,admin2Pcode,admin1Name_pt,admin1Pcode,admin0Name_en,admin0Name_pt,admin0Pcode,date,validOn,validTo
329,Nanhupo Rio,MZ071305,NA,NA,NA,Mogovolas,MZ0713,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
330,Nante,MZ111102,NA,NA,NA,Maganja Da Costa,MZ1111,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
331,Nauela,MZ110102,NA,NA,NA,Alto Molocue,MZ1101,Zambezia,MZ11,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
332,Ndelane,MZ050604,NA,NA,NA,Matutuine,MZ0506,Maputo,MZ05,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
333,Negomano,MZ011205,NA,NA,NA,Mueda,MZ0112,Cabo Delgado,MZ01,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
334,Netia,MZ071503,NA,NA,NA,Monapo,MZ0715,Nampula,MZ07,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
335,Nguawala,MZ040702,NA,NA,NA,Macossa,MZ0407,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
336,Nguzene,MZ020603,NA,NA,NA,Chongoene,MZ0206,Gaza,MZ02,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
337,Nhacafula,MZ041102,NA,NA,NA,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
338,Nhacolo,MZ041103,NA,NA,NA,Tambara,MZ0411,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
339,Nhamadze,MZ090802,NA,NA,NA,Gorongosa,MZ0908,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
340,Nhamagua,MZ040703,NA,NA,NA,Macossa,MZ0407,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
341,Nhamassonge,MZ040404,NA,NA,NA,Guro,MZ0404,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
342,Nhamatanda,MZ091301,NA,NA,NA,Nhamatanda,MZ0913,Sofala,MZ09,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
343,Nhamayabue,MZ101303,NA,NA,NA,Mutarara,MZ1013,Tete,MZ10,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
344,Nhampassa,MZ040103,NA,NA,NA,Barue,MZ0401,Manica,MZ04,Mozambique,Moçambique,MZ,1554163200000,1559865600000,NA
