OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
499,Kaberamaido,UG20410103,NA,NA,NA,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
500,Kaberamaido Town Council,UG20410104,NA,NA,NA,Kaberamaido,UG204101,Kaberamaido,UG2041,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
501,Kaberebere Town Council,UG41080203,NA,NA,NA,Isingiro,UG410802,Isingiro,UG4108,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
502,Kabeywa,UG20450205,NA,NA,NA,Tingey,UG204502,Kapchorwa,UG2045,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
503,Kabingo,UG41080204,NA,NA,NA,Isingiro,UG410802,Isingiro,UG4108,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
504,Kabira,UG10130101,NA,NA,NA,Kyotera,UG101301,Kyotera,UG1013,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
505,Kabira,UG41270102,NA,NA,NA,Ruhinda,UG412701,Mitooma,UG4127,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
506,Kabonera,UG10170103,NA,NA,NA,Bukoto,UG101701,Masaka,UG1017,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
507,Kabonero,UG41040103,NA,NA,NA,Bunyangabu,UG410401,Bunyangabu,UG4104,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
508,Kabulasoke,UG10050101,NA,NA,NA,Gomba,UG100501,Gomba,UG1005,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
509,Kabuyanda,UG41080205,NA,NA,NA,Isingiro,UG410802,Isingiro,UG4108,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
510,Kabuyanda Town Council,UG41080206,NA,NA,NA,Isingiro,UG410802,Isingiro,UG4108,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
511,Kabwangasi,UG20370103,NA,NA,NA,Butebo,UG203701,Butebo,UG2037,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
512,Kabweri,UG20480104,NA,NA,NA,Kibuku,UG204801,Kibuku,UG2048,Eastern,UG2,Uganda,UG,1591833600000,1598227200000,NA
513,Kabweza Kyegegwa,UG41230102,NA,NA,NA,Kyaka,UG412301,Kyegegwa,UG4123,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
514,Kabwohe Division,UG41350201,NA,NA,NA,Sheema Municipality,UG413502,Sheema,UG4135,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
515,Kabwoya,UG41180104,NA,NA,NA,Buhaguzi,UG411801,Kikuube,UG4118,Western,UG4,Uganda,UG,1591833600000,1598227200000,NA
516,Kacheera,UG10240103,NA,NA,NA,Kooki,UG102401,Rakai,UG1024,Central,UG1,Uganda,UG,1591833600000,1598227200000,NA
