OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
325,Marandallah,CI070303,NA,NA,NA,Mankono,CI0703,Bere,CI07,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
326,Massala,CI330205,NA,NA,NA,Séguéla,CI3302,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
327,Méagui,CI260301,Meagui,NA,NA,Méagui,CI2603,Nawa,CI26,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
328,Medon,CI120205,NA,NA,NA,Sassandra,CI1202,Gbokle,CI12,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
329,Mékro,CI270302,Mekro,NA,NA,Kouassi-Kouassikro,CI2703,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
330,Méo,CI090403,Meo,NA,NA,Toulepleu,CI0904,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
331,Minignan,CI100201,NA,NA,NA,Minignan,CI1002,Folon,CI10,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
332,Molonou,CI060303,NA,NA,NA,Tiébissou,CI0603,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
333,Molonou-Blé,CI060103,Molonou-Ble,NA,NA,Didievi,CI0601,Belier,CI06,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
334,Morokro,CI030403,NA,NA,NA,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
335,Morondo,CI330104,NA,NA,NA,Kani,CI3301,Worodougou,CI33,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
336,N'Douci,CI030404,NDouci,NA,NA,Tiassalé,CI0304,Agneby-Tiassa,CI03,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
337,N'Douffoukankro,CI230104,NDouffoukankro,NA,NA,Bouaflé,CI2301,Marahoue,CI23,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
338,N'Ganon,CI280210,NGanon,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
339,N'Gattakro,CI190105,NGattakro,NA,NA,Daoukro,CI1901,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
340,N'Goloblasso,CI210203,NGoloblasso,NA,NA,Madinani,CI2102,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
341,N'Guessankro,CI250204,NGuessankro,NA,NA,Bongouanou,CI2502,Moronou,CI25,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
342,N'Guéssankro,CI110107,NGuéssankro,NA,NA,Béoumi,CI1101,Gbeke,CI11,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
343,N'Zécrezessou,CI270104,NZécrezessou,NA,NA,Bocanda,CI2701,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
344,Nafana,CI190305,NA,NA,NA,Prikro,CI1903,Iffou,CI19,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
345,Nafana,CI310203,NA,NA,NA,Kong,CI3102,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
346,Nafoun,CI280211,NA,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
347,Nahio,CI180204,NA,NA,NA,Issia,CI1802,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
348,Namané,CI180205,Namane,NA,NA,Issia,CI1802,Haut-Sassandra,CI18,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
349,Napiéléodougou,CI280212,Napieleodougou,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
350,Nassian,CI080301,NA,NA,NA,Nassian,CI0803,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
351,Nébo,CI220105,Nebo,NA,NA,Divo,CI2201,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
352,Nézobly,CI090404,Nezobly,NA,NA,Toulepleu,CI0904,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
353,Niable,CI200105,NA,NA,NA,Abengourou,CI2001,Indenie-Djuablin,CI20,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
354,Niakaramandougou,CI170301,NA,NA,NA,Niakaramandougou,CI1703,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
355,Niambézaria,CI220305,Niambezaria,NA,NA,Lakota,CI2203,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
356,Niamoué,CI080204,Niamoue,NA,NA,Doropo,CI0802,Bounkani,CI08,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
357,Nidrou,CI160402,NA,NA,NA,Kouibly,CI1604,Guemon,CI16,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
358,Niédiékaha,CI170304,Niediekaha,NA,NA,Niakaramandougou,CI1703,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
359,Niellé,CI310304,Nielle,NA,NA,Ouangolodougou,CI3103,Tchologo,CI31,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
360,Niéméné,CI170105,Niemene,NA,NA,Dabakala,CI1701,Hambol,CI17,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
361,Niofoin,CI280213,NA,NA,NA,Korhogo,CI2802,Poro,CI28,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
362,Niokosso,CI040105,NA,NA,NA,Koro,CI0401,Bafing,CI04,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
363,Nizahon,CI090204,NA,NA,NA,Guiglo,CI0902,Cavally,CI09,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
364,Noé,CI300402,Noe,NA,NA,Tiapoum,CI3004,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
365,Nofou,CI270204,NA,NA,NA,Dimbokro,CI2702,N'Zi,CI27,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
366,Nouamou,CI300403,NA,NA,NA,Tiapoum,CI3004,Sud-Comoe,CI30,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
367,Odienné,CI210301,Odienne,NA,NA,Odienne,CI2103,Kabadougou,CI21,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
368,Oghlwapo,CI240305,NA,NA,NA,Alépé,CI2403,Me,CI24,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
369,Ogoudou,CI220106,NA,NA,NA,Divo,CI2201,Loh-Djiboua,CI22,Côte d'Ivoire,CI,1324684800000,1530835200000,NA
