OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
117,Gwadar,PK70601,NA,NA,NA,Gwadar,PK706,Balochistan,PK7,Pakistan,PK,1543536000000,1545091200000,NA
118,Hafizabad,PK61101,NA,NA,NA,Hafizabad,PK611,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
119,Hala,PK81101,NA,NA,NA,Matiari,PK811,Sindh,PK8,Pakistan,PK,1543536000000,1545091200000,NA
120,Halimzai,PK23502,NA,NA,NA,Mohmand,PK235,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
121,Hangu,PK20801,NA,NA,NA,Hangu,PK208,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
122,Haripur,PK20902,NA,NA,NA,Haripur,PK209,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
123,Harnai,PK70701,NA,NA,NA,Harnai,PK707,Balochistan,PK7,Pakistan,PK,1543536000000,1545091200000,NA
124,Haroonabad,PK60204,NA,NA,NA,Bahawalnagar,PK602,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
125,Hasilpur,PK60302,NA,NA,NA,Bahawalpur,PK603,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
126,Hassan Abdal,PK60103,NA,NA,NA,Attock,PK601,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
127,Hassan Khel,PK24301,NA,NA,NA,FR Peshawar,PK243,Khyber Pakhtunkhwa,PK2,Pakistan,PK,1543536000000,1545091200000,NA
128,Hazro,PK60104,NA,NA,NA,Attock,PK601,Punjab,PK6,Pakistan,PK,1543536000000,1545091200000,NA
129,Hub,PK71804,NA,NA,NA,Las Bela,PK718,Balochistan,PK7,Pakistan,PK,1543536000000,1545091200000,NA
130,Hyderabad,PK80401,NA,NA,NA,Hyderabad,PK804,Sindh,PK8,Pakistan,PK,1543536000000,1545091200000,NA
