OBJECTID,admin2Name_fr,admin2Pcode,admin2RefName,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
77,Oyo,CG0308,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
78,Pikounda,CG1204,NA,NA,NA,Sangha,CG12,Congo (le),CG,1499299200000,1560729600000,NA
79,Pointe-Noire,CG1001,NA,NA,NA,Point-Noire,CG10,Congo (le),CG,1499299200000,1560729600000,NA
80,Sembe,CG1205,NA,NA,NA,Sangha,CG12,Congo (le),CG,1499299200000,1560729600000,NA
81,Sibiti,CG0604,NA,NA,NA,Lekoumou,CG06,Congo (le),CG,1499299200000,1560729600000,NA
82,Souanke,CG1206,NA,NA,NA,Sangha,CG12,Congo (le),CG,1499299200000,1560729600000,NA
83,Tchiamba-Nzassi,CG0506,NA,NA,NA,Kouilou,CG05,Congo (le),CG,1499299200000,1560729600000,NA
84,Tchikapika,CG0309,NA,NA,NA,Cuvette,CG03,Congo (le),CG,1499299200000,1560729600000,NA
85,Tsiaki,CG0109,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
86,Vindza,CG1113,NA,NA,NA,Pool,CG11,Congo (le),CG,1499299200000,1560729600000,NA
87,Yamba,CG0110,NA,NA,NA,Bouenza,CG01,Congo (le),CG,1499299200000,1560729600000,NA
88,Yaya,CG0814,NA,NA,NA,Niari,CG08,Congo (le),CG,1499299200000,1560729600000,NA
89,Zanaga,CG0605,NA,NA,NA,Lekoumou,CG06,Congo (le),CG,1499299200000,1560729600000,NA
