OBJECTID,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
1013,Wub Ari,ET070711,NA,NA,NA,South Omo,ET0707,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1014,Wuchale,ET040608,NA,NA,NA,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1015,Wukro town,ET010309,NA,NA,NA,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
1016,Yabelo,ET041207,NA,NA,NA,Borena,ET0412,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1017,Yabelo town,ET041296,NA,NA,NA,Borena,ET0412,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1018,Yahob,ET050498,NA,NA,NA,Erer,ET0504,Somali,ET05,Ethiopia,ET,1566172800000,1602115200000,NA
1019,Yalo,ET020404,NA,NA,NA,Fanti /Zone 4,ET0204,Afar,ET02,Ethiopia,ET,1566172800000,1602115200000,NA
1020,Yama Logi Welel,ET041802,NA,NA,NA,Kelem Wellega,ET0418,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1021,Yaya Gulele,ET040614,NA,NA,NA,North Shewa (OR),ET0406,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1022,Yayu,ET040309,NA,NA,NA,Ilu Aba Bora,ET0403,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1023,Yeka,ET140107,NA,NA,NA,Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,1566172800000,1602115200000,NA
1024,Yeki,ET070803,NA,NA,NA,Sheka,ET0708,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1025,Yem SP Woreda,ET072401,NA,NA,NA,Yem Special,ET0724,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1026,Yilmana Densa,ET030703,NA,NA,NA,West Gojam,ET0307,Amhara,ET03,Ethiopia,ET,1566172800000,1602115200000,NA
1027,Yirgachefe,ET070502,NA,NA,NA,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1028,Yirgachefe town,ET070512,NA,NA,NA,Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1029,Yirgalem town,ET160020,NA,NA,NA,Sidama,ET1600,Sidama,ET16,Ethiopia,ET,1566172800000,1602115200000,NA
1030,Yocale,ET050382,NA,NA,NA,Jarar,ET0503,Somali,ET05,Ethiopia,ET,1566172800000,1602115200000,NA
1031,Yubdo,ET040112,NA,NA,NA,West Wellega,ET0401,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
1032,Zabagazo,ET071710,NA,NA,NA,Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1033,Zala,ET071503,NA,NA,NA,Gofa,ET0715,SNNP,ET07,Ethiopia,ET,1566172800000,1602115200000,NA
1034,Zala Anbesa town,ET010318,NA,NA,NA,Eastern,ET0103,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
1035,Zana,ET010103,NA,NA,NA,North Western,ET0101,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
1036,Zata,ET010413,NA,NA,NA,Southern,ET0104,Tigray,ET01,Ethiopia,ET,1566172800000,1602115200000,NA
1037,Zayi,ET060401,NA,NA,NA,Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,1566172800000,1602115200000,NA
1038,Zequala,ET030801,NA,NA,NA,Wag Hamra,ET0308,Amhara,ET03,Ethiopia,ET,1566172800000,1602115200000,NA
1039,Zigem,ET030997,NA,NA,NA,Awi,ET0309,Amhara,ET03,Ethiopia,ET,1566172800000,1602115200000,NA
1040,Ziway Dugda,ET040806,NA,NA,NA,Arsi,ET0408,Oromia,ET04,Ethiopia,ET,1566172800000,1602115200000,NA
