OBJECTID,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_fr,admin3AltName2_fr,admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,date,validOn,validTo
689,Youdiou,ML050516,NA,NA,NA,Koro,ML0505,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
690,Youri,ML010616,NA,NA,NA,Nioro,ML0106,Kayes,ML01,Mali (le),ML,1369958400000,1564704000000,NA
691,Youwarou,ML050807,NA,NA,NA,Youwarou,ML0508,Mopti,ML05,Mali (le),ML,1369958400000,1564704000000,NA
692,Zan Coulibaly,ML020223,NA,NA,NA,Dioila,ML0202,Koulikoro,ML02,Mali (le),ML,1369958400000,1564704000000,NA
693,Zanférébougou,ML030541,Zanferebougou,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
694,Zanfigué,ML030433,Zanfigue,NA,NA,Koutiala,ML0304,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
695,Zangaradougou,ML030542,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
696,Zangasso,ML030434,NA,NA,NA,Koutiala,ML0304,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
697,Zaniena,ML030543,NA,NA,NA,Sikasso,ML0305,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
698,Zanina,ML030435,NA,NA,NA,Koutiala,ML0304,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
699,Zantiébougou,ML030126,Zantiebougou,NA,NA,Bougouni,ML0301,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
700,Zebala,ML030436,NA,NA,NA,Koutiala,ML0304,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
701,Zégoua,ML030209,Zegoua,NA,NA,Kadiolo,ML0302,Sikasso,ML03,Mali (le),ML,1369958400000,1564704000000,NA
