OBJECTID,admin3Name_es,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin2Name_es,admin2Pcode,admin1Name_es,admin1Pcode,admin0Name_en,admin0Name_es,admin0Pcode,date,validOn,validTo
1648,Succha,PE020205,NA,NA,NA,Aija,PE0202,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1649,Sucre,PE060310,NA,NA,NA,Celendin,PE0603,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1650,Suitucancha,PE120809,NA,NA,NA,Yauli,PE1208,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1651,Sullana,PE200601,NA,NA,NA,Sullana,PE2006,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1652,Sumbilca,PE150611,NA,NA,NA,Huaral,PE1506,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1653,Sunampe,PE110210,NA,NA,NA,Chincha,PE1102,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1654,Supe,PE150204,NA,NA,NA,Barranca,PE1502,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1655,Supe Puerto,PE150205,NA,NA,NA,Barranca,PE1502,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1656,Surco,PE150732,NA,NA,NA,Huarochiri,PE1507,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1657,Surcubamba,PE090717,NA,NA,NA,Tayacaja,PE0907,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1658,Surquillo,PE150141,NA,NA,NA,Lima,PE1501,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1659,Susapaya,PE230406,NA,NA,NA,Tarata,PE2304,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1660,Suyckutambo,PE080807,NA,NA,NA,Espinar,PE0808,Cusco,PE08,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1661,Suyo,PE200210,NA,NA,NA,Ayabaca,PE2002,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1662,Tabaconas,PE060907,NA,NA,NA,San Ignacio,PE0609,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1663,Tabalosos,PE220510,NA,NA,NA,Lamas,PE2205,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1664,Tacabamba,PE060417,NA,NA,NA,Chota,PE0604,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1665,Tacna,PE230101,NA,NA,NA,Tacna,PE2301,Tacna,PE23,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1666,Tahuamanu,PE170303,NA,NA,NA,Tahuamanu,PE1703,Madre de Dios,PE17,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1667,Tahuania,PE250203,NA,NA,NA,Atalaya,PE2502,Ucayali,PE25,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1668,Talavera,PE030216,NA,NA,NA,Andahuaylas,PE0302,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1669,Tamarindo,PE200506,NA,NA,NA,Paita,PE2005,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1670,Tambillo,PE050113,NA,NA,NA,Huamanga,PE0501,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1671,Tambo,PE050508,NA,NA,NA,La Mar,PE0505,Ayacucho,PE05,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1672,Tambo,PE090616,NA,NA,NA,Huaytara,PE0906,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1673,Tambo de Mora,PE110211,NA,NA,NA,Chincha,PE1102,Ica,PE11,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1674,Tambo Grande,PE200114,NA,NA,NA,Piura,PE2001,Piura,PE20,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1675,Tambobamba,PE030501,NA,NA,NA,Cotabambas,PE0305,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1676,Tambopata,PE170101,NA,NA,NA,Tambopata,PE1701,Madre de Dios,PE17,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1677,Tamburco,PE030109,NA,NA,NA,Abancay,PE0301,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1678,Tanta,PE151028,NA,NA,NA,Yauyos,PE1510,Lima,PE15,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1679,Tantamayo,PE100511,NA,NA,NA,Huamalies,PE1005,Huanuco,PE10,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1680,Tantara,PE090412,NA,NA,NA,Castrovirreyna,PE0904,Huancavelica,PE09,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1681,Tantarica,PE060507,NA,NA,NA,Contumaza,PE0605,Cajamarca,PE06,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1682,Tapacocha,PE021709,NA,NA,NA,Recuay,PE0217,Ancash,PE02,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1683,Tapairihua,PE030414,NA,NA,NA,Aymaraes,PE0304,Apurimac,PE03,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1684,Tapay,PE040516,NA,NA,NA,Caylloma,PE0405,Arequipa,PE04,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1685,Tapiche,PE160509,NA,NA,NA,Requena,PE1605,Loreto,PE16,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1686,Tapo,PE120709,NA,NA,NA,Tarma,PE1207,Junin,PE12,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1687,Tapuc,PE190207,NA,NA,NA,Daniel Alcides Carrion,PE1902,Pasco,PE19,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1688,Taraco,PE210607,NA,NA,NA,Huancane,PE2106,Puno,PE21,Peru,Perú (el),PE,1437696000000,1594684800000,NA
1689,Tarapoto,PE220901,NA,NA,NA,San Martin,PE2209,San Martin,PE22,Peru,Perú (el),PE,1437696000000,1594684800000,NA
