admin0Name,admin0Name_da,admin0Pcode,admin1Name,admin1Name_da,admin1Pcode,admin2AltName1,admin2AltName1_da,admin2AltName2,admin2AltName2_da,admin2Name,admin2Name_da,admin2Pcode,admin2RefName,regionCode,regionName,regionName_da,admin2Name_ref,admin1Name_ref,admin0Name_ref
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Qara Bagh,قره باغ,AF1111,NA,SE,South Eastern,جنوب ختیځه حوزه,qara_bagh,ghazni,afghanistan
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Qaram Qul,قرم قل,AF2911,NA,NR,Northern,سهیلی حوزه,qaram_qul,faryab,afghanistan
Afghanistan,افغانستان,AF,Laghman,لغمان,AF07,NA,NA,NA,NA,Qarghayi,قرغه ئی,AF0702,NA,ER,Eastern,ختیځه حوزه,qarghayi,laghman,afghanistan
Afghanistan,افغانستان,AF,Jawzjan,جوزجان,AF28,NA,NA,NA,NA,Qarqin,قرقین,AF2810,NA,NR,Northern,سهیلی حوزه,qarqin,jawzjan,afghanistan
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Qaysar,قیصار,AF2907,NA,NR,Northern,سهیلی حوزه,qaysar,faryab,afghanistan
Afghanistan,افغانستان,AF,Faryab,فاریاب,AF29,NA,NA,NA,NA,Qurghan,قرغان,AF2912,NA,NR,Northern,سهیلی حوزه,qurghan,faryab,afghanistan
Afghanistan,افغانستان,AF,Jawzjan,جوزجان,AF28,NA,NA,NA,NA,Qush Tepa,قوش تیپه,AF2805,NA,NR,Northern,سهیلی حوزه,qush_tepa,jawzjan,afghanistan
Afghanistan,افغانستان,AF,Badakhshan,بدخشان,AF17,NA,NA,NA,NA,Raghestan,راغستان,AF1714,NA,NE,North Eastern,سهیل ختیځه حوزه,raghestan,badakhshan,afghanistan
Afghanistan,افغانستان,AF,Ghazni,غزنی,AF11,NA,NA,NA,NA,Rashidan,رشیدان,AF1109,NA,SE,South Eastern,جنوب ختیځه حوزه,rashidan,ghazni,afghanistan
Afghanistan,افغانستان,AF,Kandahar,کندهار,AF27,Shiga,NA,Registan,NA,Reg,ریگ ( شگه ),AF2716,NA,SR,Southern,جنوبی حوزه,reg,kandahar,afghanistan
Afghanistan,افغانستان,AF,Hilmand,هلمند,AF30,Reg,NA,NA,NA,Reg-i-Khan Nishin,ریگ خان نشین    ,AF3011,NA,SR,Southern,جنوبی حوزه,reg_i_khan_nishin,hilmand,afghanistan
Afghanistan,افغانستان,AF,Nangarhar,ننگرهار,AF06,NA,NA,NA,NA,Rodat,رودات,AF0607,NA,ER,Eastern,ختیځه حوزه,rodat,nangarhar,afghanistan
Afghanistan,افغانستان,AF,Takhar,تخار,AF18,NA,NA,NA,NA,Rostaq,رُستاق,AF1810,NA,NE,North Eastern,سهیل ختیځه حوزه,rostaq,takhar,afghanistan
Afghanistan,افغانستان,AF,Panjsher,پنجشیر,AF08,NA,NA,NA,NA,Rukha,رُخه,AF0802,NA,CR,Capital,مرکزی حوزه,rukha,panjsher,afghanistan
Afghanistan,افغانستان,AF,Samangan,سمنگان,AF20,NA,NA,NA,NA,Ruy-e-Duab,روی دو آب,AF2005,NA,NR,Northern,سهیلی حوزه,ruy_e_duab,samangan,afghanistan
Afghanistan,افغانستان,AF,Khost,خوست,AF14,Yaqubi,NA,NA,NA,Sabari,صبری,AF1407,NA,SE,South Eastern,جنوب ختیځه حوزه,sabari,khost,afghanistan
Afghanistan,افغانستان,AF,Ghor,غور,AF23,NA,NA,NA,NA,Saghar,ساغر,AF2310,NA,WR,Western,لویدیځه حوزه,saghar,ghor,afghanistan
Afghanistan,افغانستان,AF,Parwan,پروان,AF03,NA,NA,NA,NA,Salang,سالنگ,AF0306,NA,CR,Capital,مرکزی حوزه,salang,parwan,afghanistan
Afghanistan,افغانستان,AF,Sar-e-Pul,سرپل,AF22,Sangchark,NA,NA,NA,Sancharak,سانچارك,AF2205,NA,NR,Northern,سهیلی حوزه,sancharak,sar_e_pul,afghanistan
Afghanistan,افغانستان,AF,Daykundi,دایکندی,AF24,NA,NA,NA,NA,Sang-e-Takht,سنگ تخت,AF2407,NA,CH,Central Highland,لوړه مرکزی حوزه,sang_e_takht,daykundi,afghanistan
Afghanistan,افغانستان,AF,Hilmand,هلمند,AF30,NA,NA,NA,NA,Sangin,سنگین,AF3008,NA,SR,Southern,جنوبی حوزه,sangin,hilmand,afghanistan
Afghanistan,افغانستان,AF,Sar-e-Pul,سرپل,AF22,Centre,NA,NA,NA,Sar-e-Pul,سرپل,AF2201,NA,NR,Northern,سهیلی حوزه,sar_e_pul,sar_e_pul,afghanistan
Afghanistan,افغانستان,AF,Kunar,کنر ها,AF15,NA,NA,NA,NA,Sar Kani,سرکانی,AF1505,NA,ER,Eastern,ختیځه حوزه,sar_kani,kunar,afghanistan
Afghanistan,افغانستان,AF,Paktika,پکتیکا,AF12,Sar Hawzah,NA,NA,NA,Sar Rawzah,سرروضه (سرحوضه),AF1205,NA,SE,South Eastern,جنوب ختیځه حوزه,sar_rawzah,paktika,afghanistan
Afghanistan,افغانستان,AF,Sar-e-Pul,سرپل,AF22,NA,NA,NA,NA,Sayad,صیاد,AF2202,NA,NR,Northern,سهیلی حوزه,sayad,sar_e_pul,afghanistan
Afghanistan,افغانستان,AF,Maidan Wardak,میدان وردک,AF04,NA,NA,NA,NA,Saydabad,سید آباد,AF0405,NA,CR,Capital,مرکزی حوزه,saydabad,maidan_wardak,afghanistan
Afghanistan,افغانستان,AF,Paktya,پکتیا,AF13,NA,NA,NA,NA,Sayed Karam,سیدکرم,AF1306,NA,SE,South Eastern,جنوب ختیځه حوزه,sayed_karam,paktya,afghanistan
Afghanistan,افغانستان,AF,Parwan,پروان,AF03,NA,NA,NA,NA,Sayed Khel,سیدخیل,AF0304,NA,CR,Capital,مرکزی حوزه,sayed_khel,parwan,afghanistan
Afghanistan,افغانستان,AF,Bamyan,بامیان,AF10,NA,NA,NA,NA,Sayghan,سیغان,AF1003,NA,CH,Central Highland,لوړه مرکزی حوزه,sayghan,bamyan,afghanistan
Afghanistan,افغانستان,AF,Zabul,زابل,AF26,NA,NA,NA,NA,Shah Joi,شاه جوی,AF2606,NA,SR,Southern,جنوبی حوزه,shah_joi,zabul,afghanistan
