OBJECTID,admin2Name_en,admin2Name_fa,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_fa,admin2AltName2_fa,admin1Name_en,admin1Name_fa,admin1Pcode,admin0Name_en,admin0Name_fa,admin0Pcode,date,validOn,validTo
382,Shirvan,شهرستان شیروان,IR021008,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
383,Shirvan-o-Chardavol,شهرستان چرداول,IR011003,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
384,Showt,شهرستان شوط,IR029015,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
385,Shush,شهرستان شوش,IR015026,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
386,Shushtar,شهرستان شوشتر,IR015027,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
387,Siahkal,شهرستان سیاهکل,IR007014,NA,NA,NA,NA,NA,Gilan,گیلان,IR007,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
388,Sibo Soran,شهرستان سیب وسوران,IR026016,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
389,Simorgh,شهرستان سیمرغ,IR020021,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
390,Sirik,شهرستان سیریک,IR010013,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
391,Sirjan,شهرستان سیرجان,IR013022,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
392,Sirvan,شهرستان سیروان,IR011010,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
393,Solas-e-Babajani,شهرستان ثلاث باباجانی,IR014012,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
394,Soltanieh,شهرستان سلطانیه,IR031006,NA,NA,NA,NA,NA,Zanjan,زنجان,IR031,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
395,Some'e-Sara,شهرستان صومعه سرا,IR007015,Somee-Sara,NA,NA,NA,NA,Gilan,گیلان,IR007,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
396,Sonqor,شهرستان سنقر,IR014014,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
397,Sorkheh,شهرستان سرخه,IR025009,NA,NA,NA,NA,NA,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
398,Tabas,شهرستان طبس,IR027010,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
399,Tabriz,شهرستان تبریز,IR005019,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
400,Tafresh,شهرستان تفرش,IR019011,NA,NA,NA,NA,NA,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
401,Taft,شهرستان تفت,IR030009,NA,NA,NA,NA,NA,Yazd,یزد,IR030,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
402,Takab,شهرستان تکاب,IR029016,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
403,Takestan,شهرستان تاکستان,IR022006,NA,NA,NA,NA,NA,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
404,Taleghan,شهرستان طالقان,IR001006,NA,NA,NA,NA,NA,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
405,Talesh,شهرستان طوالش,IR007016,NA,NA,NA,NA,NA,Gilan,گیلان,IR007,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
406,Tangestan,شهرستان تنگستان,IR003010,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
407,Tarom,شهرستان طارم,IR031007,NA,NA,NA,NA,NA,Zanjan,زنجان,IR031,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
408,Taybad,شهرستان تایباد,IR024025,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
409,Tehran,شهرستان تهران,IR028015,NA,NA,NA,NA,NA,Tehran,تهران,IR028,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
410,Tiran-o-Korun,شهرستان تیران وکرون,IR012024,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
411,Tonekabon,شهرستان تنکابن,IR020022,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
412,Torbat-e-Heydarieh,شهرستان تربت حیدریه,IR024026,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
413,Torbat-e-Jam,شهرستان تربت جام,IR024027,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
414,Torghabe-o-Shandiz,شهرستان بینالود,IR024004,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
415,Tuyserkan,شهرستان تویسرکان,IR009009,NA,NA,NA,NA,NA,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
416,Urumia,شهرستان ارومیه,IR029017,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
417,Varamin,شهرستان ورامین,IR028016,NA,NA,NA,NA,NA,Tehran,تهران,IR028,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
418,Varzaqan,شهرستان ورزقان,IR005020,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
419,"Yasooj",شهرستان بویراحمد,IR016003,NA,NA,NA,NA,NA,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
420,Yazd,شهرستان یزد,IR030010,NA,NA,NA,NA,NA,Yazd,یزد,IR030,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
421,Zabol,شهرستان زابل,IR026017,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
422,Zahedan,شهرستان زاهدان,IR026019,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
423,Zanjan,شهرستان زنجان,IR031008,NA,NA,NA,NA,NA,Zanjan,زنجان,IR031,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
424,Zarand,شهرستان زرند,IR013023,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
425,Zarandieh,شهرستان زرندیه,IR019012,NA,NA,NA,NA,NA,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
426,Zarrindasht,شهرستان زرین‌دشت,IR006029,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
427,Zave,شهرستان زاوه,IR024028,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
428,Zehak,شهرستان زهک,IR026018,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
429,Zirkouh,شهرستان زیرکوه,IR027011,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
