OBJECTID,admin2Name_en,admin2Name_fa,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_fa,admin2AltName2_fa,admin1Name_en,admin1Name_fa,admin1Pcode,admin0Name_en,admin0Name_fa,admin0Pcode,date,validOn,validTo
54,Bam,شهرستان بم,IR013005,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
55,Bandar-Abbas,شهرستان بندرعباس,IR010002,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
56,Bandar-e-Anzali,شهرستان بندر انزلی,IR007004,NA,NA,NA,NA,NA,Gilan,گیلان,IR007,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
57,Bandar-e-Gaz,شهرستان بندر گز,IR008004,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
58,Bandar-e-Torkaman,شهرستان ترکمن,IR008014,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
59,Bandar-Lengeh,شهرستان بندر لنگه,IR010003,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
60,Baneh,شهرستان بانه,IR017001,NA,NA,NA,NA,NA,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
61,Bardaskan,شهرستان بردسکن,IR024003,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
62,Bardsir,شهرستان بردسیر,IR013006,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
63,Bashagard,شهرستان بشاگرد,IR010004,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
64,Basht,شهرستان باشت,IR016002,NA,NA,NA,NA,NA,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
65,Bastak,شهرستان بستک,IR010005,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
66,Bavanat,شهرستان بوانات,IR006003,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
67,Bavi,شهرستان باوی,IR015008,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
68,Behbahan,شهرستان بهبهان,IR015009,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
69,Behshahr,شهرستان بهشهر,IR020005,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
70,Ben,شهرستان بن,IR004002,NA,NA,NA,NA,NA,Chaharmahal and Bakhtiari,چهارمحال و بختیاری,IR004,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
71,Bijar,شهرستان بیجار,IR017002,NA,NA,NA,NA,NA,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
72,Bilasavar,شهرستان بیله‌سوار,IR002002,NA,NA,NA,NA,NA,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
73,Birjand,شهرستان بیرجند,IR027001,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
74,Bojnurd,شهرستان بجنورد,IR021001,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
75,Bonab,شهرستان بناب,IR005004,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
76,Booeino Miyandasht,شهرستان بوئین ومیاندشت,IR012004,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
77,Borkhar,شهرستان برخوار,IR012003,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
78,Borujen,شهرستان بروجن,IR004003,NA,NA,NA,NA,NA,Chaharmahal and Bakhtiari,چهارمحال و بختیاری,IR004,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
79,Borujerd,شهرستان بروجرد,IR018003,NA,NA,NA,NA,NA,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
80,Boshruyeh,شهرستان بشرویه,IR027002,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
81,Bostanabad,شهرستان بستان آباد,IR005005,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
82,Buin-Zahra,شهرستان بوئین زهرا,IR022004,NA,NA,NA,NA,NA,Qazvin,قزوین,IR022,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
83,Bukan,شهرستان بوکان,IR029002,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
84,Bushehr,شهرستان بوشهر,IR003002,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
85,Chabahar,شهرستان چابهار,IR026001,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
86,Chadegan,شهرستان چادگان,IR012005,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
87,Chaldoran,شهرستان چالدران,IR029003,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
88,Chalus,شهرستان چالوس,IR020006,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
89,Charam,شهرستان چرام,IR016004,NA,NA,NA,NA,NA,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
90,Charuymaq,شهرستان چاراویماق,IR005006,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
91,Chaypareh,شهرستان چایپاره,IR029004,NA,NA,NA,NA,NA,West Azerbaijan,آذربایجان غربی,IR029,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
92,Chenaran,شهرستان چناران,IR024005,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
93,Dalaho,شهرستان دالاهو,IR014001,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
94,Dalgan,شهرستان دلگان,IR026002,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
95,Damavand,شهرستان دماوند,IR028002,NA,NA,NA,NA,NA,Tehran,تهران,IR028,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
96,Damghan,شهرستان دامغان,IR025002,NA,NA,NA,NA,NA,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
97,Darab,شهرستان داراب,IR006004,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
98,Dargaz,شهرستان درگز,IR024006,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
99,Darmian,شهرستان درمیان,IR027003,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
100,Darreh Shahr,شهرستان دره‌شهر,IR011004,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
101,Dasht-e-Azadegan,شهرستان دشت آزادگان,IR015010,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
102,Dashtestan,شهرستان دشتستان,IR003003,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
103,Dashti,شهرستان دشتی,IR003004,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
104,Davarzan,شهرستان داورزن,IR024007,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
105,Dayyer,شهرستان دیر,IR003006,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
106,Dehaghan,شهرستان دهاقان,IR012006,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
107,Dehgolan,شهرستان دهگلان,IR017003,NA,NA,NA,NA,NA,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
108,Dehloran,شهرستان دهلران,IR011005,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
109,Delfan,شهرستان دلفان,IR018004,NA,NA,NA,NA,NA,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
110,Delijan,شهرستان دلیجان,IR019003,NA,NA,NA,NA,NA,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
111,Dena,شهرستان دنا,IR016005,NA,NA,NA,NA,NA,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
112,Deylam,شهرستان دیلم,IR003005,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
113,Dezful,شهرستان دزفول,IR015011,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
114,Divandarreh,شهرستان دیواندره,IR017004,NA,NA,NA,NA,NA,Kurdistan,کردستان,IR017,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
115,Dorud,شهرستان دورود,IR018006,NA,NA,NA,NA,NA,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
116,Doureh,شهرستان دوره,IR018005,NA,NA,NA,NA,NA,Lorestan,لرستان,IR018,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
117,Eejrud,شهرستان ایجرود,IR031002,NA,NA,NA,NA,NA,Zanjan,زنجان,IR031,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
118,Eqlid,شهرستان اقلید,IR006005,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
119,Esfarayen,شهرستان اسفراین,IR021002,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
120,Eshtehard,شهرستان اشتهارد,IR001001,NA,NA,NA,NA,NA,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
121,Estahban,شهرستان استهبان,IR006006,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
122,Eyvan,شهرستان ایوان,IR011006,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
123,Fahraj,شهرستان فهرج,IR013007,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
124,Falavarjan,شهرستان فلاورجان,IR012007,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
125,Famenin,شهرستان فامنین,IR009003,NA,NA,NA,NA,NA,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
126,Fanouj,شهرستان فنوج,IR026003,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
127,Farahan,شهرستان فراهان,IR019004,NA,NA,NA,NA,NA,Markazi,مرکزی,IR019,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
128,Farashband,شهرستان فراشبند,IR006007,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
129,Fardis,شهرستان فردیس,IR001002,NA,NA,NA,NA,NA,Alborz,البرز‎,IR001,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
130,Faridan,شهرستان فریدن,IR012008,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
131,Fariman,شهرستان فریمان,IR024008,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
132,Faroj,شهرستان فاروج,IR021003,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
133,Farsan,شهرستان فارسان,IR004004,NA,NA,NA,NA,NA,Chaharmahal and Bakhtiari,چهارمحال و بختیاری,IR004,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
134,Faryab,شهرستان فاریاب,IR013008,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
135,Fasa,شهرستان فسا,IR006008,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
136,Ferdows,شهرستان فردوس,IR027004,NA,NA,NA,NA,NA,South Khorasan,خراسان جنوبی,IR027,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
137,Feredunkenar,شهرستان فریدونکنار,IR020007,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
138,Fereydunshahr,شهرستان فریدون شهر,IR012009,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
139,Firuzabad,شهرستان فیروزآباد,IR006009,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
140,Firuzeh,شهرستان فیروزه,IR024009,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
141,Firuzkuh,شهرستان فیروزکوه,IR028003,NA,NA,NA,NA,NA,Tehran,تهران,IR028,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
142,Fuman,شهرستان فومن,IR007005,NA,NA,NA,NA,NA,Gilan,گیلان,IR007,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
143,Gachsaran,شهرستان گچساران,IR016006,NA,NA,NA,NA,NA,Kohgiluyeh and Boyer-Ahmad,کهگیلویه و بویراحمد,IR016,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
144,Galikash,شهرستان گالیکش,IR008005,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
145,Galugah,شهرستان گلوگاه,IR020008,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
146,Ganaveh,شهرستان گناوه,IR003007,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
147,Garmsar,شهرستان گرمسار,IR025003,NA,NA,NA,NA,NA,Semnan,سمنان,IR025,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
148,Gerash,شهرستان گراش,IR006010,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
149,Germeh,شهرستان گرمه,IR021004,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
150,Germi,شهرستان گرمی,IR002003,NA,NA,NA,NA,NA,Ardabil,اردبیل,IR002,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
151,Ghaleye-Ganj,شهرستان قلعه‌گنج,IR013009,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
152,Ghasre Ghand,شهرستان قصرقند,IR026013,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
153,Gilan-e-Gharb,شهرستان گیلانغرب,IR014003,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
154,Golpayegan,شهرستان گلپایگان,IR012010,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
155,Gomishan,شهرستان گمیشان,IR008006,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
156,Gonabad,شهرستان گناباد,IR024010,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
157,Gonbad-e-Kavus,شهرستان گنبد کاووس,IR008007,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
158,Gorgan,شهرستان گرگان,IR008008,NA,NA,NA,NA,NA,Golestan,گلستان,IR008,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
159,Guotvand,شهرستان گتوند,IR015012,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
160,Haftgol,شهرستان هفتکل,IR015013,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
161,Hajiabad,شهرستان حاجی‌آباد,IR010006,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
162,Hamadan,شهرستان همدان,IR009004,NA,NA,NA,NA,NA,Hamadan,همدان,IR009,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
163,Hamidieh,شهرستان حمیدیه,IR015014,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
164,Hamoun,شهرستان هامون,IR026004,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
165,Harsin,شهرستان هرسین,IR014004,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
166,Hashtrud,شهرستان هشترود,IR005007,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
167,Hendijan,شهرستان هندیجان,IR015015,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
168,Heris,شهرستان هریس,IR005008,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
169,Hirmand,شهرستان هیرمند,IR026005,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
170,Hoveizeh,شهرستان هویزه,IR015016,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
171,Ilam,شهرستان ایلام,IR011007,NA,NA,NA,NA,NA,Ilam,ایلام,IR011,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
172,Iranshahr,شهرستان ایرانشهر,IR026006,NA,NA,NA,NA,NA,Sistan and Baluchestan,سیستان و بلوچستان,IR026,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
173,Isfahan,شهرستان اصفهان,IR012011,NA,NA,NA,NA,NA,Isfahan,اصفهان,IR012,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
174,Islamabad-e-Gharb,شهرستان اسلام آبادغرب,IR014002,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
175,Islamshahr,شهرستان اسلامشهر,IR028005,NA,NA,NA,NA,NA,Tehran,تهران,IR028,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
176,Izeh,شهرستان ایذه,IR015017,NA,NA,NA,NA,NA,Khuzestan,خوزستان,IR015,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
177,Jahrom,شهرستان جهرم,IR006011,NA,NA,NA,NA,NA,Fars,فارس,IR006,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
178,Jajrom,شهرستان جاجرم,IR021005,NA,NA,NA,NA,NA,North Khorasan,خراسان شمالی,IR021,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
179,Jam,شهرستان جم,IR003008,NA,NA,NA,NA,NA,Bushehr,بوشهر,IR003,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
180,Jask,شهرستان جاسک,IR010007,NA,NA,NA,NA,NA,Hormozgan,هرمزگان,IR010,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
181,Javanrud,شهرستان جوانرود,IR014005,NA,NA,NA,NA,NA,Kermanshah,کرمانشاه,IR014,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
182,Jiroft,شهرستان جیرفت,IR013010,NA,NA,NA,NA,NA,Kerman,کرمان,IR013,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
183,Joghatai,شهرستان جغتای,IR024011,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
184,Jolfa,شهرستان جلفا,IR005009,NA,NA,NA,NA,NA,East Azerbaijan,آذربایجان شرقی,IR005,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
185,Jowayin,شهرستان جوین,IR024012,NA,NA,NA,NA,NA,Razavi Khorasan,خراسان رضوی,IR024,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
186,Juybar,شهرستان جویبار,IR020010,NA,NA,NA,NA,NA,Mazandaran,مازندران,IR020,Iran (Islamic Republic of),ایران (جمهوری اسلامی),IR,1554768000000,1557792000000,NA
