OBJECTID,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
155,Toksong,KP0322,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
156,Tongchang,KP0624,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
157,Tongrim,KP0609,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
158,Tongsin,KP0517,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
159,Tukjang,KP0727,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
160,Uiju,KP0620,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
161,Unchon,KP0909,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
162,Unhung,KP0109,NA,NA,NA,Ryanggang,KP01,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
163,Unjon,KP0612,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
164,Unjong Dist.,KP1007,NA,NA,NA,Pyongyang,KP10,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
165,Unpha,KP0808,NA,NA,NA,North Hwanghae,KP08,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
166,Unryul,KP0908,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
167,Unsan,KP0617,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
168,Unsan,KP0720,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
169,Usi,KP0514,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
170,Wiwon,KP0512,NA,NA,NA,Jagang,KP05,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
171,Wonsan City,KP0401,NA,NA,NA,Kangwon,KP04,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
172,Yangdok,KP0719,NA,NA,NA,South Pyongan,KP07,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
173,Yodok,KP0317,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
174,Yomju,KP0607,NA,NA,NA,North Pyongan,KP06,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
175,Yonan,KP0916,NA,NA,NA,South Hwanghae,KP09,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
176,Yonggwang,KP0311,NA,NA,NA,South Hamgyong,KP03,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
177,Yonsa,KP0217,NA,NA,NA,North Hamgyong,KP02,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
178,Yonsan,KP0812,NA,NA,NA,North Hwanghae,KP08,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
179,Yonthan,KP0806,NA,NA,NA,North Hwanghae,KP08,Democratic People's Republic of Korea (the),KP,1356998400000,1561334400000,NA
