OBJECTID,admin4Name_en,admin4Pcode,admin4RefName,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
4941,Ward No-13,BD20154313,NA,NA,NA,Khulshi,BD201543,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4942,Ward No-13,BD30264813,NA,NA,NA,Mirpur,BD302648,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4943,Ward No-13,BD40474513,NA,NA,NA,Khalishpur,BD404745,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4944,Ward No-13,BD50812213,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4945,Ward No-13,BD60916213,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4946,Ward No-14,BD10065114,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4947,Ward No-14,BD20154314,NA,NA,NA,Khulshi,BD201543,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4948,Ward No-14,BD40474514,NA,NA,NA,Khalishpur,BD404745,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4949,Ward No-14,BD50812214,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4950,Ward No-14,BD60916214,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4951,Ward No-14 (part),BD30263014,NA,NA,NA,Kafrul,BD302630,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4952,Ward No-14 (part),BD30264814,NA,NA,NA,Mirpur,BD302648,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4953,Ward No-15,BD10065115,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4954,Ward No-15,BD40474515,NA,NA,NA,Khalishpur,BD404745,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4955,Ward No-15,BD50812215,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4956,Ward No-15,BD60916215,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4957,Ward No-15 (part),BD30260815,NA,NA,NA,Cantonment,BD302608,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4958,Ward No-15 (part),BD30263015,NA,NA,NA,Kafrul,BD302630,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4959,Ward No-15 (part),BD30266415,NA,NA,NA,Pallabi,BD302664,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4960,Ward No-15 (Part),BD20154115,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4961,Ward No-15 (Part),BD20155715,NA,NA,NA,Panchlaish,BD201557,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4962,Ward No-16,BD10065116,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4963,Ward No-16,BD20154116,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4964,Ward No-16,BD30263016,NA,NA,NA,Kafrul,BD302630,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4965,Ward No-16,BD40478516,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4966,Ward No-16,BD50812216,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4967,Ward No-16,BD60916216,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4968,Ward No-17,BD10065117,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4969,Ward No-17,BD20151017,NA,NA,NA,Bakalia,BD201510,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4970,Ward No-17,BD40478517,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4971,Ward No-17,BD50819017,NA,NA,NA,Shah Makhdum,BD508190,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4972,Ward No-17,BD60916217,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4973,Ward No-17 (Part),BD30260417,NA,NA,NA,Badda,BD302604,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4974,Ward No-17 (Part),BD30263717,NA,NA,NA,Khilkhet,BD302637,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4975,Ward No-18,BD10065118,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4976,Ward No-18,BD20151018,NA,NA,NA,Bakalia,BD201510,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4977,Ward No-18,BD30262618,NA,NA,NA,Gulshan,BD302626,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4978,Ward No-18,BD40478518,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4979,Ward No-18,BD60916218,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4980,Ward No-18 (part),BD50812218,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4981,Ward No-18 (part),BD50819018,NA,NA,NA,Shah Makhdum,BD508190,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4982,Ward No-19,BD10065119,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4983,Ward No-19,BD20151019,NA,NA,NA,Bakalia,BD201510,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4984,Ward No-19,BD30262619,NA,NA,NA,Gulshan,BD302626,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4985,Ward No-19,BD40478519,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4986,Ward No-19,BD50812219,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4987,Ward No-19,BD60916219,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4988,Ward No-20,BD10065120,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4989,Ward No-20,BD20154120,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4990,Ward No-20,BD40478520,NA,NA,NA,Sonadanga,BD404785,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4991,Ward No-20,BD50812220,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
4992,Ward No-20,BD60916220,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
4993,Ward No-20 (Part),BD30262620,NA,NA,NA,Gulshan,BD302626,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4994,Ward No-20 (Part),BD30269220,NA,NA,NA,Tejgaon Ind. Area,BD302692,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4995,Ward No-21,BD10065121,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
4996,Ward No-21,BD20154121,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
4997,Ward No-21,BD30260421,NA,NA,NA,Badda,BD302604,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
4998,Ward No-21,BD40475121,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
4999,Ward No-21,BD50812221,NA,NA,NA,Boalia,BD508122,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,1420070400000,1605225600000,NA
5000,Ward No-21,BD60916221,NA,NA,NA,Sylhet Sadar,BD609162,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,1420070400000,1605225600000,NA
5001,Ward No-22,BD10065122,NA,NA,NA,Barisal Sadar (Kotwali),BD100651,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,1420070400000,1605225600000,NA
5002,Ward No-22,BD20154122,NA,NA,NA,Kotwali,BD201541,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,1420070400000,1605225600000,NA
5003,Ward No-22,BD30266722,NA,NA,NA,Rampura,BD302667,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,1420070400000,1605225600000,NA
5004,Ward No-22,BD40475122,NA,NA,NA,Khulna Sadar,BD404751,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,1420070400000,1605225600000,NA
