OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,ValidTo
31,Al-Bagur,مركز الباجور,EG1704,Al-Bagur,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
32,Al-Balyana,مركز البلينا,EG2605,Al-Balyana,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
33,Al-Dawahy ,قسم الضواحى,EG0305,Al-Dawahy ,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
34,Al-Dilingat,مركز الدلنجات,EG1805,Al-Dilingat,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
35,Al-Ganayin,قسم الجناين,EG0405,Al-Ganayin,NA,NA,NA,NA,Suez,السويس,EG04,Egypt,مِصر,EG,1136073600000,1492732800000,NA
36,Al-Ganoub,قسم الجنوب,EG0306,Al-Ganoub,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
37,Al-Ganoub 2,قسم ثان الجنوب,EG0311,Al-Ganoub 2,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
38,Al-Ghanayem,مركز الغنايم,EG2508,Al-Ghanayem,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
39,Al-Hammam,قسم الحمام,EG3302,Al-Hammam,NA,NA,NA,NA,Matrouh,مطروح,EG33,Egypt,مِصر,EG,1136073600000,1492732800000,NA
40,Al-Hasna,قسم الحسنة,EG3406,Al-Hasna,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
41,Al-Husayniya,مركز الحسينية,EG1306,Al-Husayniya,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
42,Al-Kharga Oasis,مركز الواحات الخارجة,EG3201,Al-Kharga Oasis,NA,NA,NA,NA,New Valley,الوادى الجديد,EG32,Egypt,مِصر,EG,1136073600000,1492732800000,NA
43,Al-Mahmudiyya,مركز المحمودية,EG1806,Al-Mahmudiyya,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
44,Al-Manasra,قسم المناصرة,EG0310,Al-Manasra,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
45,Al-Maragha ,مركز المراغة,EG2606,Al-Maragha ,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
46,Al-Minshat,مركز المنشأة,EG2607,Al-Minshat,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
47,Al-Munakh,قسم المناخ,EG0303,Al-Munakh,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
48,Al-Qanayat,قسم القنايات,EG1318,Al-Qanayat,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
49,Al-Qusia,مركز القوصية,EG2509,Al-Qusia,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
50,Al-Rahmaniyya,مركز الرحمانية,EG1815,Al-Rahmaniyya,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
51,Al-Salhiyya,قسم الصالحية الجديدة,EG1307,Al-Salhiyya,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
52,Al-Sharq,قسم الشرق,EG0301,Al-Sharq,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
53,Al-Shuhada,مركز الشهداء,EG1705,Al-Shuhada,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
54,Al-Tur,قسم الطور,EG3501,Al-Tur,NA,NA,NA,NA,South Sinai,جنوب سيناء,EG35,Egypt,مِصر,EG,1136073600000,1492732800000,NA
55,Al-Zohour,قسم الزهور,EG0307,Al-Zohour,NA,NA,NA,NA,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,1136073600000,1492732800000,NA
56,Al Amreia,قسم  العامرية,EG0213,Al Amreia,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
57,Al Attarin,قسم  العطارين,EG0206,Al Attarin,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
58,Al Azbakiyya,قسم  الأزبكية,EG0113,Al Azbakiyya,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
59,Al Darb al-Ahmar,قسم  الدرب الأحمر,EG0114,Al Darb al-Ahmar,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
60,Al Dikhila,قسم  الدخيلة,EG0212,Al Dikhila,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
61,Al Farafra Oasis,مركز الفرافرة,EG3203,Al Farafra Oasis,NA,NA,NA,NA,New Valley,الوادى الجديد,EG32,Egypt,مِصر,EG,1136073600000,1492732800000,NA
62,Al Fashn,مركز الفشن,EG2204,Al Fashn,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
63,Al Gumruk,قسم  الجمرك,EG0210,Al Gumruk,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
64,Al Hamul,مركز الحامول,EG1511,Al Hamul,NA,NA,NA,NA,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,1136073600000,1492732800000,NA
65,Al Khalifa,قسم  الخليفة,EG0108,Al Khalifa,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
66,Al Khanka,مركز الخانكة,EG1403,Al Khanka,NA,NA,NA,NA,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,1136073600000,1492732800000,NA
67,Al Manshiyya,قسم  المنشية,EG0207,Al Manshiyya,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
68,Al Matariyya,قسم المطرية,EG0125,Al Matariyya,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
69,Al Raml,قسم أول الرمل,EG0202,Al Raml,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
70,Al Sahil,قسم الساحل,EG0121,Al Sahil,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
71,Al Salam,قسم السلام,EG0132,Al Salam,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
72,Al Sharabiyya,قسم  الشرابية,EG0118,Al Sharabiyya,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
73,Al Tibbin,قسم  التبين,EG0101,Al Tibbin,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
74,Al Usayrat,مركز العسيرات,EG2617,Al Usayrat,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
75,Al Waqf,مركز الوقف,EG2712,Al Waqf,NA,NA,NA,NA,Qena,قنا,EG27,Egypt,مِصر,EG,1136073600000,1492732800000,NA
76,Al Wasta,مركز الواسطى,EG2205,Al Wasta,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
77,Al Wayli,قسم الوايلي,EG0122,Al Wayli,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
78,Al Zahir,قسم  الظاهر,EG0117,Al Zahir,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
79,Al Zaytun,قسم الزيتون,EG0124,Al Zaytun,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
80,Alamn,قسم مارينا العلمين السياحية,EG3307,Alamn,NA,NA,NA,NA,Matrouh,مطروح,EG33,Egypt,مِصر,EG,1136073600000,1492732800000,NA
81,Alfath,مركز الفتح,EG2513,Alfath,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
82,Armant,مركز أرمنت,EG2704,Armant,NA,NA,NA,NA,Qena,قنا,EG27,Egypt,مِصر,EG,1136073600000,1492732800000,NA
83,Ashmun,مركز أشمون,EG1703,Ashmun,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
84,Assuit,مركز أسيوط,EG2503,Assuit,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
85,Assuit City,مدينة اسيوط الجديدة,EG2514,Assuit City,NA,NA,NA,NA,Assiut,أسيوط,EG25,Egypt,مِصر,EG,1136073600000,1492732800000,NA
86,Aswan,قسم أسوان,EG2801,Aswan,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
87,Aswan,مركز أسوان,EG2802,Aswan,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
88,Aswan City,مدينة أسوان الجديدة,EG2808,Aswan City,NA,NA,NA,NA,Aswan,أسوان,EG28,Egypt,مِصر,EG,1136073600000,1492732800000,NA
89,Ataqa,قسم عتاقة,EG0403,Ataqa,NA,NA,NA,NA,Suez,السويس,EG04,Egypt,مِصر,EG,1136073600000,1492732800000,NA
90,Atfeh,مركز أطفيح,EG2115,Atfeh,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
91,Atsa,مركز أطسا,EG2304,Atsa,NA,NA,NA,NA,Fayoum,الفيوم,EG23,Egypt,مِصر,EG,1136073600000,1492732800000,NA
92,Auseem,مركز أوسيم,EG2116,Auseem,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
93,Awlad Saqr,مركز أولاد صقر,EG1319,Awlad Saqr,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
94,Ayat,مركز العياط,EG2112,Ayat,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
95,Bab Al-Shariyya,قسم  باب الشعرية,EG0116,Bab Al-Shariyya,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
96,Bab Sharqi,قسم  باب شرقى,EG0204,Bab Sharqi,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
97,Badr,قسم بدر,EG0141,Badr,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
98,Badr,مركز بدر,EG1818,Badr,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
99,Badrashain,مركز البدرشين,EG2110,Badrashain,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
100,Bahariya Oasis,قسم الواحات البحرية,EG2114,Bahariya Oasis,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
101,Banha,قسم بنها,EG1401,Banha,NA,NA,NA,NA,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,1136073600000,1492732800000,NA
102,Banha,مركز بنها,EG1402,Banha,NA,NA,NA,NA,Kalyoubia,القليوبية,EG14,Egypt,مِصر,EG,1136073600000,1492732800000,NA
103,Bani Swayf,قسم بنى سويف,EG2201,Bani Swayf,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
104,Bani Swayf,مركز بنى سويف,EG2202,Bani Swayf,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
105,Bani Swayf City,قسم مدينة بنى سويف الجديدة,EG2203,Bani Swayf City,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
106,Bany Abeed,مركز بنى عبيد,EG1218,Bany Abeed,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
107,Basatin,قسم  البساتين,EG0135,Basatin,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
108,Basyun,مركز بسيون,EG1608,Basyun,NA,NA,NA,NA,Gharbia,الغربية,EG16,Egypt,مِصر,EG,1136073600000,1492732800000,NA
109,Biba,مركز ببا,EG2207,Biba,NA,NA,NA,NA,Beni Suef,بنى سويف,EG22,Egypt,مِصر,EG,1136073600000,1492732800000,NA
110,Bilbis,مركز بلبيس,EG1308,Bilbis,NA,NA,NA,NA,Sharkia,الشرقية,EG13,Egypt,مِصر,EG,1136073600000,1492732800000,NA
111,Bilqas,مركز بلقاس,EG1208,Bilqas,NA,NA,NA,NA,Dakahlia,الدقهلية,EG12,Egypt,مِصر,EG,1136073600000,1492732800000,NA
112,Bir Al-Abd,قسم بئر العبد,EG3405,Bir Al-Abd,NA,NA,NA,NA,North Sinai,شمال سيناء,EG34,Egypt,مِصر,EG,1136073600000,1492732800000,NA
113,Birkat Al-Sab,مركز بركة السبع,EG1706,Birkat Al-Sab,NA,NA,NA,NA,Menoufia,المنوفية,EG17,Egypt,مِصر,EG,1136073600000,1492732800000,NA
114,Biyalu,مركز بيلا,EG1504,Biyalu,NA,NA,NA,NA,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,1136073600000,1492732800000,NA
115,Bulaq,قسم بولاق,EG0112,Bulaq,NA,NA,NA,NA,Cairo,القاهرة,EG01,Egypt,مِصر,EG,1136073600000,1492732800000,NA
116,Bulaq Al-DakrUr,قسم بولاق الدكرور,EG2105,Bulaq Al-DakrUr,NA,NA,NA,NA,Giza,الجيزة,EG21,Egypt,مِصر,EG,1136073600000,1492732800000,NA
117,Burg al-Arab,قسم  برج العرب,EG0214,Burg al-Arab,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
118,Burg Al-Arab City,مدينه برج العرب الجديده,EG0216,Burg Al-Arab City,NA,NA,NA,NA,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,1136073600000,1492732800000,NA
119,Burullus,مركز البرلس,EG1503,Burullus,NA,NA,NA,NA,Kafr El-Shikh,كفر الشيخ,EG15,Egypt,مِصر,EG,1136073600000,1492732800000,NA
120,Daba,مركز الضبعة,EG3304,Daba,NA,NA,NA,NA,Matrouh,مطروح,EG33,Egypt,مِصر,EG,1136073600000,1492732800000,NA
121,Dahab,قسم دهب,EG3506,Dahab,NA,NA,NA,NA,South Sinai,جنوب سيناء,EG35,Egypt,مِصر,EG,1136073600000,1492732800000,NA
122,Damanhur,قسم دمنهور,EG1801,Damanhur,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
123,Damanhur,مركز دمنهور,EG1802,Damanhur,NA,NA,NA,NA,Behera,البحيرة,EG18,Egypt,مِصر,EG,1136073600000,1492732800000,NA
124,Dar al-Salam ,مركز دار السلام,EG2608,Dar al-Salam ,NA,NA,NA,NA,Suhag,سوهاج,EG26,Egypt,مِصر,EG,1136073600000,1492732800000,NA
