OBJECTID,admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
2494,Khok Yang,โคกยาง,TH320508,NA,NA,NA,NA,NA,Prasat,ปราสาท,TH3205,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2495,Khok Yang,โคกยาง,TH810805,NA,NA,NA,NA,NA,Nuea Khlong,เหนือคลอง,TH8108,Krabi,กระบี่,TH81,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2496,Khok Yang,โคกยาง,TH920207,NA,NA,NA,NA,NA,Kantang,กันตัง,TH9202,Trang,ตรัง,TH92,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2497,Khok Yang,โคกย่าง,TH310708,NA,NA,NA,NA,NA,Prakhon Chai,ประโคนชัย,TH3107,Buri Ram,บุรีรัมย์,TH31,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2498,Kholo Tanyong,คอลอตันหยง,TH940302,NA,NA,NA,NA,NA,Nong Chik,หนองจิก,TH9403,Pattani,ปัตตานี,TH94,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2499,Khon Buri,ครบุรี,TH300203,NA,NA,NA,NA,NA,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2500,Khon Buri Tai,ครบุรีใต้,TH300210,NA,NA,NA,NA,NA,Khon Buri,ครบุรี,TH3002,Nakhon Ratchasima,นครราชสีมา,TH30,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2501,Khon Chim,คอนฉิม,TH401301,NA,NA,NA,NA,NA,Waeng Yai,แวงใหญ่,TH4013,Khon Kaen,ขอนแก่น,TH40,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2502,Khon Hat,ขอนหาด,TH800707,NA,NA,NA,NA,NA,Cha-Uat,ชะอวด,TH8007,Nakhon Si Thammarat,นครศรีธรรมราช,TH80,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2503,Khon Kaen,ขอนแก่น,TH450104,NA,NA,NA,NA,NA,Mueang Roi Et,เมืองร้อยเอ็ด,TH4501,Roi Et,ร้อยเอ็ด,TH45,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2504,Khon Kam,คอนกาม,TH330203,NA,NA,NA,NA,NA,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2505,Khon Khlan,ขอนคลาน,TH910603,NA,NA,NA,NA,NA,Thung Wa,ทุ่งหว้า,TH9106,Satun,สตูล,TH91,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
2506,Khon Sai,คอนสาย,TH341106,NA,NA,NA,NA,NA,Trakan Phuet Phon,ตระการพืชผล,TH3411,Ubon Ratchathani,อุบลราชธานี,TH34,Thailand,ประเทศไทย,TH,1550448000000,1550707200000,NA
