OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
35,Province de Beni Mellal, ,MA001002,NA,NA,NA,NA,NA,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,1588204800000,1606953600000,NA
36,Province de Benslimane, ,MA002007,NA,NA,NA,NA,NA,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,1588204800000,1606953600000,NA
37,Province de Berkane, ,MA007002,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
38,Province de Boulemane, ,MA004005,NA,NA,NA,NA,NA,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1588204800000,1606953600000,NA
39,Province de Driouch, ,MA007003,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
40,Province de Figuig, ,MA007004,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
41,Province de Fquih Ben Saleh, ,MA001003,NA,NA,NA,NA,NA,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,1588204800000,1606953600000,NA
42,Province de Guercif, ,MA007005,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
43,Province de Jerada, ,MA007006,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
44,Province de Kenitra, ,MA008004,NA,NA,NA,NA,NA,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1588204800000,1606953600000,NA
45,Province de Khemisset, ,MA008005,NA,NA,NA,NA,NA,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1588204800000,1606953600000,NA
46,Province de Khenifra, ,MA001004,NA,NA,NA,NA,NA,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,1588204800000,1606953600000,NA
47,Province de Khouribga, ,MA001005,NA,NA,NA,NA,NA,Beni Mellal Khenifra,بني ملال - خنيفرة,MA001,Morocco,المغرب,MA,1588204800000,1606953600000,NA
48,Province de Midelt, ,MA003003,NA,NA,NA,NA,NA,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,1588204800000,1606953600000,NA
49,Province de Moulay Yacoub, ,MA004006,NA,NA,NA,NA,NA,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1588204800000,1606953600000,NA
50,Province de Nador, ,MA007007,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
51,Province de Safi, ,MA006006,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
52,Province de Sefrou, ,MA004007,NA,NA,NA,NA,NA,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1588204800000,1606953600000,NA
53,Province de Sidi Bennour, ,MA002008,NA,NA,NA,NA,NA,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,1588204800000,1606953600000,NA
54,Province de Sidi Kacem, ,MA008006,NA,NA,NA,NA,NA,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1588204800000,1606953600000,NA
55,Province de Sidi Slimane, ,MA008007,NA,NA,NA,NA,NA,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,1588204800000,1606953600000,NA
56,Province de Tan Tan, ,MA005003,NA,NA,NA,NA,NA,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,1588204800000,1606953600000,NA
57,Province de Taounate, ,MA004008,NA,NA,NA,NA,NA,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1588204800000,1606953600000,NA
58,Province de Taourirt, ,MA007008,NA,NA,NA,NA,NA,Oriental,الجهة الشرقية,MA007,Morocco,المغرب,MA,1588204800000,1606953600000,NA
59,Province de Taza, ,MA004009,NA,NA,NA,NA,NA,Fez Meknes,فاس - مكناس,MA004,Morocco,المغرب,MA,1588204800000,1606953600000,NA
60,Province de Tinghir, ,MA003004,NA,NA,NA,NA,NA,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,1588204800000,1606953600000,NA
61,Province de Youssoufia, ,MA006007,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
62,Rhamna Province, ,MA006008,NA,NA,NA,NA,NA,Marrakech Safi,مراكش - آسفي,MA006,Morocco,المغرب,MA,1588204800000,1606953600000,NA
63,Settat Province, ,MA002009,NA,NA,NA,NA,NA,Casablanca Settat,الدار البيضاء - سطات,MA002,Morocco,المغرب,MA,1588204800000,1606953600000,NA
64,Sidi Ifni Province, ,MA005004,NA,NA,NA,NA,NA,Guelmim Oued Noun,كلميم - واد نون,MA005,Morocco,المغرب,MA,1588204800000,1606953600000,NA
65,Taroudant Province, ,MA009004,NA,NA,NA,NA,NA,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,1588204800000,1606953600000,NA
66,Tata Province, ,MA009005,NA,NA,NA,NA,NA,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,1588204800000,1606953600000,NA
67,Tetouan Province, ,MA010008,NA,NA,NA,NA,NA,Tangier Tetouan Al Hoceima,طنجة - تطوان - الحسيمة,MA010,Morocco,المغرب,MA,1588204800000,1606953600000,NA
68,Tiznit Province, ,MA009006,NA,NA,NA,NA,NA,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,1588204800000,1606953600000,NA
69,Zagora Province, ,MA003005,NA,NA,NA,NA,NA,Draa Tafilalet,درعة - تافيلالت,MA003,Morocco,المغرب,MA,1588204800000,1606953600000,NA
