admin0Name_en,admin0Pcode,admin1Name_en,admin1Pcode,admin2Name_en,admin2Pcode,admin3AltName1_en,admin3AltName2_en,admin3Name_en,admin3Pcode,admin3RefName
Angola,AO,Cunene,AO08,Cuanhama,AO08063,NA,NA,Kafima,AO08063209,NA
Angola,AO,Bengo,AO01,Nambuangongo,AO01005,NA,NA,Kage,AO01005018,NA
Angola,AO,Cunene,AO08,Cahama,AO08062,NA,NA,Kahama,AO08062206,NA
Angola,AO,Malanje,AO14,Cahombo,AO14118,NA,NA,Kahombo,AO14118382,NA
Angola,AO,Bié,AO03,N'harea,AO03023,NA,NA,Kaiei,AO03023091,NA
Angola,AO,Benguela,AO02,Caimbambo,AO02010,NA,NA,Kaimbambo,AO02010038,NA
Angola,AO,Bié,AO03,Catabola,AO03017,NA,NA,Kaiuera,AO03017069,NA
Angola,AO,Cuando Cubango,AO05,Menongue,AO05034,NA,NA,Kaiundo,AO05034125,NA
Angola,AO,Huambo,AO10,Ukuma,AO10091,NA,NA,Kakoma,AO10091295,NA
Angola,AO,Huíla,AO09,Caconda,AO09068,NA,NA,Kakonda,AO09068227,NA
Angola,AO,Cabinda,AO04,Cacongo (Landana),AO04027,NA,NA,Kakongo,AO04027104,NA
Angola,AO,Benguela,AO02,Baía Farta,AO02006,NA,NA,Kalahanga,AO02006027,NA
Angola,AO,Cuando Cubango,AO05,Calai,AO05028,NA,NA,Kalai,AO05028106,NA
Angola,AO,Huambo,AO10,Caála,AO10082,NA,NA,Kalenga,AO10082267,NA
Angola,AO,Huíla,AO09,Caluquembe,AO09069,NA,NA,Kalepi,AO09069230,NA
Angola,AO,Huambo,AO10,Caála,AO10082,NA,NA,Kalima,AO10082268,NA
Angola,AO,Huambo,AO10,Huambo,AO10085,NA,NA,Kalima,AO10085277,NA
Angola,AO,Cunene,AO08,Cuvelai,AO08065,NA,NA,Kalonga,AO08065215,NA
Angola,AO,Bié,AO03,Andulo,AO03015,NA,NA,Kalucinga,AO03015060,NA
Angola,AO,Huíla,AO09,Caluquembe,AO09069,NA,NA,Kalukembe,AO09069231,NA
Angola,AO,Cuanza Sul,AO07,Libolo (Calulo),AO07054,NA,NA,Kalulo,AO07054182,NA
Angola,AO,Cuanza Norte,AO06,Ambaca,AO06037,NA,NA,Kamabatela,AO06037134,NA
Angola,AO,Bié,AO03,Camacupa,AO03016,NA,NA,Kamakupa,AO03016062,NA
Angola,AO,Malanje,AO14,Cahombo,AO14118,NA,NA,Kambo,AO14118383,NA
Angola,AO,Huambo,AO10,Mungo,AO10088,NA,NA,Kambuengo,AO10088287,NA
Angola,AO,Lunda Norte,AO12,Cambulo,AO12101,NA,NA,Kambulo,AO12101326,NA
Angola,AO,Malanje,AO14,Cambundi-Catembo,AO14116,NA,NA,Kambundi-Katembo,AO14116375,NA
Angola,AO,Moxico,AO15,Cameia (Lumeje),AO15130,NA,NA,Kameia,AO15130424,NA
Angola,AO,Bengo,AO01,Nambuangongo,AO01005,NA,NA,Kanacassala,AO01005019,NA
Angola,AO,Cuanza Norte,AO06,Golungo Alto,AO06044,NA,NA,Kanbomdo,AO06044159,NA
Angola,AO,Malanje,AO14,Malanje,AO14122,NA,NA,Kangando,AO14122396,NA
Angola,AO,Uíge,AO17,Cangola (Alto Cauale),AO17142,NA,NA,Kangola,AO17142462,NA
Angola,AO,Bié,AO03,Chinguar,AO03018,NA,NA,Kangote,AO03018072,NA
Angola,AO,Moxico,AO15,Luena,AO15136,NA,NA,Kangumbe,AO15136442,NA
Angola,AO,Benguela,AO02,Caimbambo,AO02010,NA,NA,Kanhamela,AO02010039,NA
Angola,AO,Cuanza Norte,AO06,Cazengo,AO06042,NA,NA,Kanhoca,AO06042151,NA
Angola,AO,Benguela,AO02,Lobito,AO02014,NA,NA,Kanjala,AO02014055,NA
Angola,AO,Lunda Norte,AO12,Cambulo,AO12101,NA,NA,Kanzar,AO12101327,NA
Angola,AO,Huíla,AO09,Matala,AO09078,NA,NA,Kapelongo,AO09078254,NA
Angola,AO,Lunda Norte,AO12,Capenda-Camulemba,AO12102,NA,NA,Kapenda Kamulemba,AO12102329,NA
Angola,AO,Cuanza Sul,AO07,Porto Amboim,AO07056,NA,NA,Kapolo,AO07056188,NA
Angola,AO,Malanje,AO14,Luquembo,AO14121,NA,NA,Kapunda,AO14121391,NA
Angola,AO,Huíla,AO09,Chibia,AO09070,NA,NA,Kapunda Kavilongo,AO09070235,NA
Angola,AO,Benguela,AO02,Cubal,AO02012,NA,NA,Kapupa,AO02012045,NA
Angola,AO,Moxico,AO15,Alto Zambeze,AO15128,NA,NA,Kaquengue,AO15128418,NA
Angola,AO,Cuanza Norte,AO06,Banga,AO06038,NA,NA,Kariamba,AO06038141,NA
Angola,AO,Cuanza Sul,AO07,Quibala,AO07057,NA,NA,Kariango,AO07057190,NA
Angola,AO,Benguela,AO02,Ganda,AO02013,NA,NA,Kaseke,AO02013052,NA
Angola,AO,Cuanza Sul,AO07,Ebo,AO07053,NA,NA,Kassanje,AO07053180,NA
Angola,AO,Huíla,AO09,Jamba,AO09075,NA,NA,Kassinga,AO09075246,NA
Angola,AO,Cuanza Sul,AO07,Cassongue,AO07051,NA,NA,Kassongue,AO07051174,NA
Angola,AO,Bié,AO03,Andulo,AO03015,NA,NA,Kassumbe,AO03015061,NA
Angola,AO,Bié,AO03,Catabola,AO03017,NA,NA,Katabola,AO03017070,NA
Angola,AO,Huambo,AO10,Longonjo,AO10087,NA,NA,Katabola,AO10087284,NA
Angola,AO,Huambo,AO10,Caála,AO10082,NA,NA,Katata,AO10082269,NA
Angola,AO,Malanje,AO14,Calandula,AO14115,NA,NA,Kateco-Kangola,AO14115370,NA
Angola,AO,Benguela,AO02,Caimbambo,AO02010,NA,NA,Katengue,AO02010040,NA
Angola,AO,Benguela,AO02,Catumbela,AO02164,NA,NA,Katumbela,AO02164056,NA
Angola,AO,Lunda Norte,AO12,Caungula,AO12103,NA,NA,Kaungula,AO12103332,NA
Angola,AO,Moxico,AO15,Alto Zambeze,AO15128,NA,NA,Kavungo,AO15128419,NA
Angola,AO,Cuanza Norte,AO06,Cambambe (Kambambe),AO06041,NA,NA,Kazua,AO06041165,NA
Angola,AO,Zaire,AO18,Soyo,AO18162,NA,NA,Kelo,AO18162520,NA
Angola,AO,Bengo,AO01,Bula-Atumba,AO01040,NA,NA,Kiaje,AO01040146,NA
Angola,AO,Cuanza Norte,AO06,Lucala,AO06045,NA,NA,Kiangombe,AO06045161,NA
Angola,AO,Cuanza Sul,AO07,Quibala,AO07057,NA,NA,Kibala,AO07057191,NA
Angola,AO,Bengo,AO01,Dembos-Quibaxe,AO01043,NA,NA,Kibaxe,AO01043153,NA
Angola,AO,Uíge,AO17,Maquela do Zombo,AO17148,NA,NA,Kibocolu,AO17148478,NA
Angola,AO,Cuanza Norte,AO06,Quiculungo,AO06048,NA,NA,Kiculungo,AO06048167,NA
Angola,AO,Bengo,AO01,Nambuangongo,AO01005,NA,NA,Kicunzo,AO01005020,NA
