OBJECTID,admin2Name_en,admin2Name_ar,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ar,admin2AltName2_ar,admin1Name_en,admin1Name_ar,admin1Pcode,admin0Name_en,admin0Name_ar,admin0Pcode,date,validOn,validTo
47,Muhradah,محردة,SY0505,NA,NA,NA,NA,NA,Hama,حماة,SY05,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
48,Qadmous,القدموس,SY1006,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
49,Qatana,قطنا,SY0308,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
50,Quamishli,القامشلي,SY0802,NA,NA,NA,NA,NA,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
51,Quneitra,مركز القنيطرة,SY1400,NA,NA,NA,NA,NA,Quneitra,القنيطرة,SY14,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
52,Ras Al Ain,رأس العين,SY0804,NA,NA,NA,NA,NA,Al-Hasakeh,الحسكة,SY08,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
53,Rural Damascus,مركز ريف دمشق,SY0301,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
54,Safita,صافيتا,SY1003,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
55,Salkhad,صلخد,SY1302,NA,NA,NA,NA,NA,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
56,Shahba,شهبا,SY1303,NA,NA,NA,NA,NA,As-Sweida,السويداء,SY13,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
57,Sheikh Badr,الشيخ بدر,SY1005,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
58,Tadmor,تدمر,SY0405,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
59,Tall Kalakh,تلكلخ,SY0403,NA,NA,NA,NA,NA,Homs,حمص,SY04,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
60,Tartous,مركز طرطوس,SY1000,NA,NA,NA,NA,NA,Tartous,طرطوس,SY10,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
61,Tell Abiad,تل أبيض,SY1102,NA,NA,NA,NA,NA,Ar-Raqqa,الرقة,SY11,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
62,Yabroud,يبرود,SY0305,NA,NA,NA,NA,NA,Rural Damascus,ريف دمشق,SY03,Syrian Arab Republic,الجمهورية العربية السورية,SY,1496275200000,1608163200000,NA
