OBJECTID,admin3Name_en,admin3Name_fr,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_fr,admin3AltName2_fr,admin2Name_en,admin2Name_fr,admin2Pcode,admin1Name_en,admin1Name_fr,admin1Pcode,admin0Name_en,admin0Name_fr,admin0Pcode,date,validOn,validTo
112,NA,Ekondo Titi,CM010006003,NA,NA,NA,NA,NA,NA,Ndian,CM010006,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
113,NA,Elig-Mfomo,CM002002003,NA,NA,NA,NA,NA,NA,Lekié,CM002002,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
114,NA,Endom,CM002009003,NA,NA,NA,NA,NA,NA,Nyong-et-Mfoumou,CM002009,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
115,NA,Eseka,CM002008005,NA,NA,NA,NA,NA,NA,Nyong-et-Kellé,CM002008,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
116,NA,Esse,CM002005005,NA,NA,NA,NA,NA,NA,Mefou-et-Afamba,CM002005,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
117,NA,Evodoula,CM002002004,NA,NA,NA,NA,NA,NA,Lekié,CM002002,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
118,NA,Eyumodjock,CM010004002,NA,NA,NA,NA,NA,NA,Manyu,CM010004,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
119,NA,Figuil,CM006003001,NA,NA,NA,NA,NA,NA,Mayo-Louti,CM006003,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
120,NA,Fiko,CM005001003,NA,NA,NA,NA,NA,NA,Moungo,CM005001,Littoral,Littoral,CM005,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
121,NA,Fokoue,CM008005002,NA,NA,NA,NA,NA,NA,Menoua,CM008005,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
122,NA,Fongo-Tongo,CM008005003,NA,NA,NA,NA,NA,NA,Menoua,CM008005,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
123,NA,Fontem,CM010003002,NA,NA,NA,NA,NA,NA,Lebialem,CM010003,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
124,NA,Fotokol,CM004002003,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
125,NA,Foumban,CM008008002,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
126,NA,Foumbot,CM008008003,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
127,NA,Fundong,CM007001003,NA,NA,NA,NA,NA,NA,Boyo,CM007001,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
128,NA,Fungom,CM007004001,NA,NA,NA,NA,NA,NA,Menchum,CM007004,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
129,NA,Furu-Awa,CM007004002,NA,NA,NA,NA,NA,NA,Menchum,CM007004,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
130,NA,Galim,CM008001003,NA,NA,NA,NA,NA,NA,Bamboutos,CM008001,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
131,NA,Galim-Tignere,CM001002001,NA,NA,NA,NA,NA,NA,Faro-et-Déo,CM001002,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
132,NA,Gari Gombo,CM003001001,NA,NA,NA,NA,NA,NA,Boumba-et-Ngoko,CM003001,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
133,NA,Garoua-Boulai,CM003004006,NA,NA,NA,NA,NA,NA,Lom-et-Djérem,CM003004,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
134,NA,Garoua 1er,CM006001005,NA,NA,NA,NA,NA,NA,Bénoué,CM006001,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
135,NA,Garoua 2e,CM006001006,NA,NA,NA,NA,NA,NA,Bénoué,CM006001,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
136,NA,Garoua 3e,CM006001007,NA,NA,NA,NA,NA,NA,Bénoué,CM006001,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
137,NA,Gazawa,CM004001003,NA,NA,NA,NA,NA,NA,Diamaré,CM004001,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
138,NA,Gobo,CM004003002,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
139,NA,Goulfey,CM004002004,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
140,NA,Guere,CM004003003,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
141,NA,Guider,CM006003002,NA,NA,NA,NA,NA,NA,Mayo-Louti,CM006003,North,Nord,CM006,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
142,NA,Guidiguis,CM004004001,NA,NA,NA,NA,NA,NA,Mayo-Kani,CM004004,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
143,NA,Hile-Alifa,CM004002005,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
144,NA,Hina,CM004006002,NA,NA,NA,NA,NA,NA,Mayo-Tsanaga,CM004006,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
145,NA,Idabato,CM010006004,NA,NA,NA,NA,NA,NA,Ndian,CM010006,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
146,NA,Isangele,CM010006005,NA,NA,NA,NA,NA,NA,Ndian,CM010006,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
147,NA,Jakiri,CM007002001,NA,NA,NA,NA,NA,NA,Bui,CM007002,North-West,Nord-Ouest,CM007,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
148,NA,Kaele,CM004004002,NA,NA,NA,NA,NA,NA,Mayo-Kani,CM004004,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
149,NA,Kai-Kai,CM004003004,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
150,NA,Kalfou,CM004003005,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
151,NA,Kar-Hay,CM004003006,NA,NA,NA,NA,NA,NA,Mayo-Danay,CM004003,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
152,NA,Kekem,CM008002007,NA,NA,NA,NA,NA,NA,Haut-Nkam,CM008002,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
153,NA,Kette,CM003003003,NA,NA,NA,NA,NA,NA,Kadey,CM003003,East,Est,CM003,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
154,NA,Kiiki,CM002003004,NA,NA,NA,NA,NA,NA,Mbam-et-Inoubou,CM002003,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
155,NA,Kolofata,CM004005001,NA,NA,NA,NA,NA,NA,Mayo-Sava,CM004005,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
156,NA,Kombo Abedimo,CM010006006,NA,NA,NA,NA,NA,NA,Ndian,CM010006,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
157,NA,Kombo Itindi,CM010006007,NA,NA,NA,NA,NA,NA,Ndian,CM010006,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
158,NA,Kon Yambetta,CM002003005,NA,NA,NA,NA,NA,NA,Mbam-et-Inoubou,CM002003,Centre,Centre,CM002,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
159,NA,Kontcha,CM001002002,NA,NA,NA,NA,NA,NA,Faro-et-Déo,CM001002,Adamawa,Adamaoua,CM001,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
160,NA,Konye,CM010005001,NA,NA,NA,NA,NA,NA,Meme,CM010005,South-West,Sud-Ouest,CM010,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
161,NA,Kouoptamo,CM008008004,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
162,NA,Kousseri,CM004002006,NA,NA,NA,NA,NA,NA,Logone-et-Chari,CM004002,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
163,NA,Koutaba,CM008008005,NA,NA,NA,NA,NA,NA,Noun,CM008008,West,Ouest,CM008,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
164,NA,Koza,CM004006003,NA,NA,NA,NA,NA,NA,Mayo-Tsanaga,CM004006,Far-North,Extrême-Nord,CM004,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
165,NA,Kribi 1er,CM009003004,NA,NA,NA,NA,NA,NA,Océan,CM009003,South,Sud,CM009,Cameroon,Cameroun (le),CM,1545004800000,1546560000000,NA
