OBJECTID,admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
649,Palermo,CO41524,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
650,Palestina,CO17524,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
651,Palestina,CO41530,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
652,Palmar,CO68522,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
653,Palmar de Varela,CO08520,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
654,Palmas del Socorro,CO68524,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
655,Palmira,CO76520,NA,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
656,Palmito,CO70523,NA,NA,NA,Sucre,CO70,Colombia,CO,1514764800000,1586995200000,NA
657,Palocabildo,CO73520,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
658,Pamplona,CO54518,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
659,Pamplonita,CO54520,NA,NA,NA,Norte de Santander,CO54,Colombia,CO,1514764800000,1586995200000,NA
660,Pana Pana,CO94887,NA,NA,NA,Guainía,CO94,Colombia,CO,1514764800000,1586995200000,NA
661,Pandi,CO25524,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
662,Panqueba,CO15522,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
663,Papunahua,CO97777,NA,NA,NA,Vaupés,CO97,Colombia,CO,1514764800000,1586995200000,NA
664,Páramo,CO68533,Paramo,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
665,Paratebueno,CO25530,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
666,Pasca,CO25535,NA,NA,NA,Cundinamarca,CO25,Colombia,CO,1514764800000,1586995200000,NA
667,Pasto,CO52001,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
668,Patía,CO19532,Patia,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
669,Pauna,CO15531,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
670,Paya,CO15533,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
671,Paz de Ariporo,CO85250,NA,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
672,Paz de Río,CO15537,Paz de Rio,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
673,Pedraza,CO47541,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
674,Pelaya,CO20550,NA,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
675,Peñol,CO05541,Penol,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
676,Pensilvania,CO17541,NA,NA,NA,Caldas,CO17,Colombia,CO,1514764800000,1586995200000,NA
677,Peque,CO05543,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
678,Pereira,CO66001,NA,NA,NA,Risaralda,CO66,Colombia,CO,1514764800000,1586995200000,NA
679,Pesca,CO15542,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
680,Piamonte,CO19533,NA,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
681,Piedecuesta,CO68547,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
682,Piedras,CO73547,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
683,Piendamó - Tunía,CO19548,Piendamo - Tunia,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
684,Pijao,CO63548,NA,NA,NA,Quindio,CO63,Colombia,CO,1514764800000,1586995200000,NA
685,Pijiño del Carmen,CO47545,Pijino del Carmen,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
686,Pinchote,CO68549,NA,NA,NA,Santander,CO68,Colombia,CO,1514764800000,1586995200000,NA
687,Pinillos,CO13549,NA,NA,NA,Bolívar,CO13,Colombia,CO,1514764800000,1586995200000,NA
688,Piojó,CO08549,Piojo,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
689,Pisba,CO15550,NA,NA,NA,Boyacá,CO15,Colombia,CO,1514764800000,1586995200000,NA
690,Pital,CO41548,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
691,Pitalito,CO41551,NA,NA,NA,Huila,CO41,Colombia,CO,1514764800000,1586995200000,NA
692,Pivijay,CO47551,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
693,Planadas,CO73555,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
694,Planeta Rica,CO23555,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
695,Plato,CO47555,NA,NA,NA,Magdalena,CO47,Colombia,CO,1514764800000,1586995200000,NA
696,Policarpa,CO52540,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
697,Polonuevo,CO08558,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
698,Ponedera,CO08560,NA,NA,NA,Atlántico,CO08,Colombia,CO,1514764800000,1586995200000,NA
699,Popayán,CO19001,Popayan,NA,NA,Cauca,CO19,Colombia,CO,1514764800000,1586995200000,NA
700,Pore,CO85263,NA,NA,NA,Casanare,CO85,Colombia,CO,1514764800000,1586995200000,NA
701,Potosí,CO52560,Potosi,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
702,Pradera,CO76563,NA,NA,NA,Valle del Cauca,CO76,Colombia,CO,1514764800000,1586995200000,NA
703,Prado,CO73563,NA,NA,NA,Tolima,CO73,Colombia,CO,1514764800000,1586995200000,NA
704,Providencia,CO52565,NA,NA,NA,Nariño,CO52,Colombia,CO,1514764800000,1586995200000,NA
705,Providencia,CO88564,NA,NA,NA,"Archipiélago de San Andrés, Providencia y Santa Catalina",CO88,Colombia,CO,1514764800000,1586995200000,NA
706,Pueblo Bello,CO20570,NA,NA,NA,Cesar,CO20,Colombia,CO,1514764800000,1586995200000,NA
707,Pueblo Nuevo,CO23570,NA,NA,NA,Córdoba,CO23,Colombia,CO,1514764800000,1586995200000,NA
708,Pueblo Rico,CO66572,NA,NA,NA,Risaralda,CO66,Colombia,CO,1514764800000,1586995200000,NA
709,Pueblorrico,CO05576,NA,NA,NA,Antioquia,CO05,Colombia,CO,1514764800000,1586995200000,NA
