OBJECTID,admin2Name_en,admin2Name_ka,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ka,admin2AltName2_ka,admin1Name_en,admin1Name_ka,admin1Pcode,admin0Name_en,admin0Name_ka,admin0Pcode,date,validOn,validTo
49,Poti,ქ. ფოთი,GE3814,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
50,Rustavi,ქ. რუსთავი,GE4411,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
51,Sachkhere,საჩხერის,GE2635,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
52,Sagarejo,საგარეჯოს,GE2934,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
53,Samtredia,სამტრედიის,GE2633,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
54,Senaki,სენაკის,GE3832,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
55,Shuakhevi,შუახევის,GE1529,NA,NA,NA,NA,NA,Autonomous Republic of Adjara,აჭარის ავტონომიური რესპუბლიკა,GE15,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
56,Sighnaghi,სიღნაღის,GE2936,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
57,Telavi,თელავის,GE2930,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
58,Telavi City,ქ. თელავი,GE2911,NA,NA,NA,NA,NA,Kakheti,კახეთი,GE29,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
59,Terjola,თერჯოლის,GE2631,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
60,Tetritskaro,თეთრიწყაროს,GE4430,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
61,Tianeti,თიანეთის მუნიციპალიტეტი,GE3227,NA,NA,NA,NA,NA,Mtskheta-Mtianeti,მცხეთა-მთიანეთი,GE32,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
62,Tkibuli,ტყიბულის,GE2636,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
63,Tsageri,ცაგერის,GE3531,NA,NA,NA,NA,NA,Racha-Lechkhumi and Kvemo Svaneti,რაჭა-ლეჩხუმი და ქვემო სვანეთი,GE35,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
64,Tsalenjikha,წალენჯიხის,GE3836,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
65,Tsalka,წალკის,GE4434,NA,NA,NA,NA,NA,Kvemo Kartli,ქვემო ქართლი,GE44,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
66,Tskaltubo,წყალტუბოს,GE2638,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
67,Vani,ვანის,GE2627,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
68,Zestaponi,ზესტაფონის,GE2629,NA,NA,NA,NA,NA,Imereti,იმერეთი,GE26,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
69,Zugdidi,ზუგდიდის,GE3825,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
70,Zugdidi City,ქ. ზუგდიდი,GE3811,NA,NA,NA,NA,NA,Samegrelo-Zemo Svaneti,სამეგრელო-ზემო სვანეთი,GE38,Georgia,საქართველო,GE,1566950400000,1571356800000,NA
